Species;Stock_name;Area_27
Cod;Codnear&Codcoastnor;2.a.1
Cod;Codnear&Codcoastnor;2.a.2
Cod;Codice;5.a.1
Cod;Codice;5.a.2
Cod;Codfalp;5.b.1.b
Cod;Codfalp;5.b.2
Cod;Codfalp;5.b.1.a
Cod;Codba-25-32;4.c
Cod;Codba-25-32;3.a.20
Cod;Codba-25-32;3.d.32
Cod;Codns;4.a
Cod;Codns;4.b
Cod;CodVla;6.a
Cod;Codis;7.a
Hake;Hakesouth;8.c
Hake;Hakesouth;9.a
Hake;Hakertn;5.b.1.b
Hake;Hakertn; 5.b.2
Hake;Hakertn; 5.b.1.a
Hake;Hakertn; 6.b.1
Hake;Hakertn; 6.b.2
Hake;Hakertn; 7.c.1
Hake;Hakertn; 7.c.2
Hake;Hakertn; 7.b
Hake;Hakertn; 7.k.1
Hake;Hakertn; 7.k.2
Hake;Hakertn; 7.j.2
Hake;Hakertn; 7.g
Hake;Hakertn; 7.h
Hake;Hakertn; 7.f
Hake;Hakertn; 7.e
Hake;Hakertn; 8.a
Hake;Hakertn; 8.b
Hake;Hakertn; 7.d
Hake;Hakertn; 4.a
Hake;Hakertn; 4.b
Hake;Hakertn; 4.c
