ASSESSID;TSYEAR;PT_AVAIL;SSB;R;TOTAL;F;CPUE;CATCH_LANDINGS
AFWG-CODCOASTNOR-1982-2006-MINTO;1982;6;;87938;;;;
AFWG-CODCOASTNOR-1982-2006-MINTO;1983;6;;74574;;;;
AFWG-CODCOASTNOR-1982-2006-MINTO;1984;6;152180;35663;310230;0.6221;;74824
AFWG-CODCOASTNOR-1982-2006-MINTO;1985;6;128256;36854;294011;0.5275;;75451
AFWG-CODCOASTNOR-1982-2006-MINTO;1986;6;134052;40102;290729;0.5806;;68905
AFWG-CODCOASTNOR-1982-2006-MINTO;1987;6;125262;44147;255006;0.4915;;60972
AFWG-CODCOASTNOR-1982-2006-MINTO;1988;6;125687;42334;230959;0.6193;;59294
AFWG-CODCOASTNOR-1982-2006-MINTO;1989;6;100801;60965;196820;0.3749;;40285
AFWG-CODCOASTNOR-1982-2006-MINTO;1990;6;110062;49132;210863;0.1832;;28127
AFWG-CODCOASTNOR-1982-2006-MINTO;1991;6;132541;30637;246987;0.1699;;24822
AFWG-CODCOASTNOR-1982-2006-MINTO;1992;6;165151;25943;289266;0.2328;;41690
AFWG-CODCOASTNOR-1982-2006-MINTO;1993;6;179151;34267;302443;0.234;;52557
AFWG-CODCOASTNOR-1982-2006-MINTO;1994;6;188357;40426;303152;0.2327;;54562
AFWG-CODCOASTNOR-1982-2006-MINTO;1995;6;173644;33375;265692;0.3036;;57207
AFWG-CODCOASTNOR-1982-2006-MINTO;1996;6;187535;30930;270314;0.375;;61776
AFWG-CODCOASTNOR-1982-2006-MINTO;1997;6;137318;25437;208829;0.4011;;63319
AFWG-CODCOASTNOR-1982-2006-MINTO;1998;6;106079;23006;183107;0.4302;;51572
AFWG-CODCOASTNOR-1982-2006-MINTO;1999;6;86248;19924;159143;0.4249;;40732
AFWG-CODCOASTNOR-1982-2006-MINTO;2000;6;77055;15191;145292;0.3683;;36715
AFWG-CODCOASTNOR-1982-2006-MINTO;2001;6;72283;10869;135395;0.3151;;29699
AFWG-CODCOASTNOR-1982-2006-MINTO;2002;6;95784;11446;160371;0.3849;;40994
AFWG-CODCOASTNOR-1982-2006-MINTO;2003;6;62338;7539;105176;0.3771;;34635
AFWG-CODCOASTNOR-1982-2006-MINTO;2004;6;62845;9784;102025;0.3428;;24547
AFWG-CODCOASTNOR-1982-2006-MINTO;2005;6;51445;;84309;0.359;;22432
AFWG-CODCOASTNOR-1982-2006-MINTO;2006;6;52309;;84983;0.5335;;26134
AFWG-CODNEAR-1943-2006-MINTO;1943;12;;728139;;;;
AFWG-CODNEAR-1943-2006-MINTO;1944;12;;425311;;;;
AFWG-CODNEAR-1943-2006-MINTO;1945;12;;442592;;;;
AFWG-CODNEAR-1943-2006-MINTO;1946;12;1112776;468348;4168882;0.1857;;706000
AFWG-CODNEAR-1943-2006-MINTO;1947;12;1165059;704908;3692801;0.3047;;882017
AFWG-CODNEAR-1943-2006-MINTO;1948;12;1019114;1083753;3665819;0.3398;;774295
AFWG-CODNEAR-1943-2006-MINTO;1949;12;729879;1193111;3065111;0.3619;;800122
AFWG-CODNEAR-1943-2006-MINTO;1950;12;615339;1590377;2830103;0.3566;;731982
AFWG-CODNEAR-1943-2006-MINTO;1951;12;568705;641584;3141009;0.3966;;827180
AFWG-CODNEAR-1943-2006-MINTO;1952;12;520599;272778;3407679;0.5348;;876795
AFWG-CODNEAR-1943-2006-MINTO;1953;12;396417;439602;3557376;0.3572;;695546
AFWG-CODNEAR-1943-2006-MINTO;1954;12;429694;804781;4039204;0.3879;;826021
AFWG-CODNEAR-1943-2006-MINTO;1955;12;346919;496824;3488383;0.5437;;1147841
AFWG-CODNEAR-1943-2006-MINTO;1956;12;299823;683690;3189831;0.6401;;1343068
AFWG-CODNEAR-1943-2006-MINTO;1957;12;207840;789653;2495895;0.5089;;792557
AFWG-CODNEAR-1943-2006-MINTO;1958;12;195377;916842;2164149;0.5169;;769313
AFWG-CODNEAR-1943-2006-MINTO;1959;12;432489;728338;2415826;0.5596;;744607
AFWG-CODNEAR-1943-2006-MINTO;1960;12;383479;472064;2050805;0.4789;;622042
AFWG-CODNEAR-1943-2006-MINTO;1961;12;404228;338678;2137149;0.6348;;783221
AFWG-CODNEAR-1943-2006-MINTO;1962;12;311678;776941;1957006;0.7576;;909266
AFWG-CODNEAR-1943-2006-MINTO;1963;12;208207;1582560;1747579;0.9866;;776337
AFWG-CODNEAR-1943-2006-MINTO;1964;12;186570;1295416;1374529;0.6789;;437695
AFWG-CODNEAR-1943-2006-MINTO;1965;12;102315;164955;1440693;0.5533;;444930
AFWG-CODNEAR-1943-2006-MINTO;1966;12;120722;112039;2198418;0.5302;;483711
AFWG-CODNEAR-1943-2006-MINTO;1967;12;129784;197105;2852164;0.5439;;572605
AFWG-CODNEAR-1943-2006-MINTO;1968;12;227215;404774;3387455;0.5704;;1074084
AFWG-CODNEAR-1943-2006-MINTO;1969;12;151870;1015319;2805591;0.8292;;1197226
AFWG-CODNEAR-1943-2006-MINTO;1970;12;224482;1818949;2057698;0.7493;;933246
AFWG-CODNEAR-1943-2006-MINTO;1971;12;311662;523916;1610969;0.5956;;689048
AFWG-CODNEAR-1943-2006-MINTO;1972;12;346511;621616;1621485;0.6928;;565254
AFWG-CODNEAR-1943-2006-MINTO;1973;12;332913;613942;2401955;0.602;;792685
AFWG-CODNEAR-1943-2006-MINTO;1974;12;164491;348054;2236387;0.5633;;1102433
AFWG-CODNEAR-1943-2006-MINTO;1975;12;142028;638490;2037430;0.6595;;829377
AFWG-CODNEAR-1943-2006-MINTO;1976;12;171238;198490;1931396;0.6457;;867463
AFWG-CODNEAR-1943-2006-MINTO;1977;12;341385;137735;1950748;0.8379;;905301
AFWG-CODNEAR-1943-2006-MINTO;1978;12;241536;150868;1576565;0.9406;;698715
AFWG-CODNEAR-1943-2006-MINTO;1979;12;174699;151830;1114381;0.7264;;440538
AFWG-CODNEAR-1943-2006-MINTO;1980;12;108253;166831;863862;0.7241;;380434
AFWG-CODNEAR-1943-2006-MINTO;1981;12;166926;397831;983658;0.8632;;399038
AFWG-CODNEAR-1943-2006-MINTO;1982;12;326133;523674;750871;0.7583;;363730
AFWG-CODNEAR-1943-2006-MINTO;1983;12;327181;1037294;738675;0.756;;289992
AFWG-CODNEAR-1943-2006-MINTO;1984;12;251087;286233;817596;0.9161;;277651
AFWG-CODNEAR-1943-2006-MINTO;1985;12;193856;204644;957513;0.7038;;307920
AFWG-CODNEAR-1943-2006-MINTO;1986;12;170729;172781;1293972;0.8649;;430113
AFWG-CODNEAR-1943-2006-MINTO;1987;12;121243;242749;1126251;0.951;;523071
AFWG-CODNEAR-1943-2006-MINTO;1988;12;202589;411727;915458;0.9743;;434939
AFWG-CODNEAR-1943-2006-MINTO;1989;12;234716;720977;890358;0.6602;;332481
AFWG-CODNEAR-1943-2006-MINTO;1990;12;316417;896132;962672;0.271;;212000
AFWG-CODNEAR-1943-2006-MINTO;1991;12;704743;810730;1561682;0.321;;319158
AFWG-CODNEAR-1943-2006-MINTO;1992;12;887558;659269;1912130;0.455;;513234
AFWG-CODNEAR-1943-2006-MINTO;1993;12;775169;437438;2360042;0.5528;;581611
AFWG-CODNEAR-1943-2006-MINTO;1994;12;614856;715534;2156027;0.8678;;771086
AFWG-CODNEAR-1943-2006-MINTO;1995;12;528745;843569;1826370;0.7881;;739999
AFWG-CODNEAR-1943-2006-MINTO;1996;12;571465;547506;1686462;0.6989;;732228
AFWG-CODNEAR-1943-2006-MINTO;1997;12;588322;611503;1531660;10.347;;762403
AFWG-CODNEAR-1943-2006-MINTO;1998;12;385508;531705;1229095;0.9192;;592624
AFWG-CODNEAR-1943-2006-MINTO;1999;12;292298;441520;1099574;0.9937;;484910
AFWG-CODNEAR-1943-2006-MINTO;2000;12;239848;638975;1099999;0.8585;;414868
AFWG-CODNEAR-1943-2006-MINTO;2001;12;353956;322496;1377969;0.7242;;426471
AFWG-CODNEAR-1943-2006-MINTO;2002;12;495634;554414;1548947;0.6771;;535045
AFWG-CODNEAR-1943-2006-MINTO;2003;12;547018;408987;1612359;0.5357;;551990
AFWG-CODNEAR-1943-2006-MINTO;2004;12;660389;;1571512;0.6899;;606445
AFWG-CODNEAR-1943-2006-MINTO;2005;12;614399;;1551802;0.7301;;641276
AFWG-CODNEAR-1943-2006-MINTO;2006;12;590631;;1462430;0.6575;;596197
NWWG-CODFAPL-1959-2006-MINTO;1959;6;;12019;;;;
NWWG-CODFAPL-1959-2006-MINTO;1960;6;;20654;;;;
NWWG-CODFAPL-1959-2006-MINTO;1961;6;46439;20290;65428;0.6059;;21598
NWWG-CODFAPL-1959-2006-MINTO;1962;6;43326;21834;68225;0.5226;;20967
NWWG-CODFAPL-1959-2006-MINTO;1963;6;49054;8269;77602;0.4944;;22215
NWWG-CODFAPL-1959-2006-MINTO;1964;6;55362;18566;84666;0.5017;;21078
NWWG-CODFAPL-1959-2006-MINTO;1965;6;57057;23451;75043;0.4909;;24212
NWWG-CODFAPL-1959-2006-MINTO;1966;6;60629;17582;83919;0.4743;;20418
NWWG-CODFAPL-1959-2006-MINTO;1967;6;73934;9325;105289;0.39;;23562
NWWG-CODFAPL-1959-2006-MINTO;1968;6;82484;8608;110433;0.4642;;29930
NWWG-CODFAPL-1959-2006-MINTO;1969;6;83487;11928;105537;0.4375;;32371
NWWG-CODFAPL-1959-2006-MINTO;1970;6;82035;21320;98398;0.3882;;24183
NWWG-CODFAPL-1959-2006-MINTO;1971;6;63308;12573;78218;0.3526;;23010
NWWG-CODFAPL-1959-2006-MINTO;1972;6;57180;30480;76439;0.3358;;18727
NWWG-CODFAPL-1959-2006-MINTO;1973;6;83547;38319;110713;0.2886;;22228
NWWG-CODFAPL-1959-2006-MINTO;1974;6;98434;18575;139266;0.3139;;24581
NWWG-CODFAPL-1959-2006-MINTO;1975;6;109565;9995;153663;0.3947;;36775
NWWG-CODFAPL-1959-2006-MINTO;1976;6;123077;10748;161260;0.4749;;39799
NWWG-CODFAPL-1959-2006-MINTO;1977;6;112057;14997;136211;0.6757;;34927
NWWG-CODFAPL-1959-2006-MINTO;1978;6;78497;23582;96227;0.4259;;26585
NWWG-CODFAPL-1959-2006-MINTO;1979;6;66722;14000;85112;0.4273;;23112
NWWG-CODFAPL-1959-2006-MINTO;1980;6;58886;22127;85037;0.3945;;20513
NWWG-CODFAPL-1959-2006-MINTO;1981;6;63560;25157;88410;0.4648;;22963
NWWG-CODFAPL-1959-2006-MINTO;1982;6;67031;47753;98960;0.4138;;21489
NWWG-CODFAPL-1959-2006-MINTO;1983;6;78539;17313;123245;0.7057;;38133
NWWG-CODFAPL-1959-2006-MINTO;1984;6;96760;9503;152130;0.5082;;36979
NWWG-CODFAPL-1959-2006-MINTO;1985;6;84766;9909;131202;0.7016;;39484
NWWG-CODFAPL-1959-2006-MINTO;1986;6;73661;8678;99223;0.6695;;34595
NWWG-CODFAPL-1959-2006-MINTO;1987;6;62191;15913;78302;0.4457;;21391
NWWG-CODFAPL-1959-2006-MINTO;1988;6;52065;3669;66064;0.6086;;23182
NWWG-CODFAPL-1959-2006-MINTO;1989;6;38299;6674;58647;0.7994;;22068
NWWG-CODFAPL-1959-2006-MINTO;1990;6;28971;11399;37912;0.6596;;13487
