Country;Species;Division;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Belgium;Atlantic cod;I (not specified);-;-;-;-;-;-;161;-;-;567;351;1212;245;-;-;-;-;-;-;-;-;-;-;-;171;-;65;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;ICES Area (not specified);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;II b (not specified);-;-;-;-;-;-;-;266;-;262;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;614;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;III a;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;156;109;52;77;126;93;23;23;11;5;47;84;38;34;76;38;102;88;70;134;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;IV a;2142;2038;2186;1653;1633;2374;1783;1632;1645;1742;807;881;741;731;831;836;492;399;774;483;159;91;120;168;65;45;122;4;33;-;115;163;63;89;71;46;22;14;34;6;20;20;44;31;58;59;55;66;32;41;45;-;12;1;-;-;-;-;-;.;.
Belgium;Atlantic cod;IV b;768;942;830;1533;1724;1272;1152;464;591;1577;2191;4011;3233;2914;3007;4391;6448;9545;12836;6802;3359;6143;6542;4823;6336;5361;5371;4496;6498;5570;4698;4143;3875;3269;2271;2055;1331;490;425;823;1491;1671;2243;2186;1729;2683;1649;1877;3293;2324;2204;1919;1433;841;1326;1386;1034;775;407;324;337
Belgium;Atlantic cod;IV c;320;178;188;212;140;244;361;612;828;1177;2103;1572;1549;1506;2244;7556;8622;8697;9408;6185;4558;13100;14471;6750;3852;2160;1990;5846;10942;7006;4817;4438;2666;3346;3462;2714;5251;6189;5049;2569;1423;640;1069;1157;861;2085;1754;2699;2474;1517;1055;551;1171;640;301;336;275;234;487;622;329
Belgium;Atlantic cod;V a (not specified);4249;5591;4940;-;6220;-;-;6748;9946;5456;5556;5427;8199;6250;3071;3747;2987;2367;3488;2716;2960;2972;2471;1110;1128;1269;956;1408;1314;1485;840;1321;236;188;254;207;226;597;365;309;260;548;222;145;136;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;V a (South-West);-;-;-;7634;-;9002;6975;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Belgium;Atlantic cod;V b1 (not specified);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;VI a;30;-;-;-;-;-;10;-;3;71;295;106;120;242;48;12;128;65;88;109;61;41;39;75;174;49;71;-;-;4;57;30;35;21;22;48;88;33;44;28;-;6;-;22;1;2;-;11;1;-;-;2;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;VI b (not specified);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;VII a;-;-;-;-;-;-;-;-;-;-;-;-;18;11;290;325;201;251;211;272;332;390;348;276;409;282;257;135;144;174;246;395;269;139;135;185;222;344;269;467;310;78;174;169;129;187;142;183;316;150;60;283;318;183;104;115;60;67;26;19;21
Belgium;Atlantic cod;VII a-f  (not specified);106;68;64;52;34;82;213;469;205;139;552;230;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Belgium;Atlantic cod;VII d;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;58;47;422;690;151;329;251;368;331;501;650;815;486;173;237;182;187;157;228;377;321;310;239;172;110;93;51;54;47;51;80;84;154;73;57
Belgium;Atlantic cod;VII d+e (not specified);72;10;31;14;42;49;38;47;26;18;48;26;26;16;70;184;508;130;199;132;132;213;124;93;67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;VII e;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;7;6;13;9;12;34;42;21;15;12;8;10;12;19;6;6;2;5;1;12;2;1;6;1;-;2;4;3;2;3;5;5;5;6;5
Belgium;Atlantic cod;VII f;-;-;-;-;-;-;-;-;-;-;-;-;138;86;246;526;1003;831;950;295;414;512;318;202;30;262;72;23;36;59;62;85;75;131;85;240;263;153;440;662;550;262;122;250;281;258;417;276;334;189;105;159;325;79;95;120;52;65;39;14;17
Belgium;Atlantic cod;VII g;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;143;104;198;186;54;52;59;44;37;22;26;30
Belgium;Atlantic cod;VII g-k  (not specified);166;103;117;114;44;378;981;1076;1202;764;-;602;481;131;624;739;481;207;168;196;223;295;77;323;167;116;159;85;52;51;110;198;97;113;144;224;112;63;102;229;86;51;81;136;115;129;133;250;191;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;VII h;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;4;5;1;1;1;2;1
Belgium;Atlantic cod;VII j (not specified);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;3;-;1;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;VIII (not specified);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;5;1;-;7;-;-;1;<0.5;9;5;14;2;1;3;1;12;19;4;7;-;-;-;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;VIII a;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;.;.
Belgium;Atlantic cod;VIII b;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;<0.5;-;<0.5;<0.5;-;-;<0.5;-;<0.5;.
