Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Denmark;Atlantic cod;I (not specified);1;2;1;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Denmark;Atlantic cod;II a (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;-;-;5;-;48;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;II a2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;-
Denmark;Atlantic cod;II b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;136;78;90;256;-;50;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;III a;1;7568;6271;7519;6520;7417;6910;8260;9647;10771;9278;9855;9109;12172;11890;13259;13667;14618;15514;15073;12281;13300;17662;20410;21588;26042;25921;31833;35311;38079;25077;30857;36452;33449;27863;25357;23730;23114;27363;18140;23777;20506;14918;15089;16458;15889;19649;18611;16040;16547;12676;10973;8650;7278;4512;3883;3613;3054;2639;2827;3154;3400
Denmark;Atlantic cod;III b  Baltic 23;2;1443;1460;1537;766;1004;756;616;674;582;714;684;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1273;1885;-;745;1517;1118;606;724;1427;2448;1001;1071;2594;2999;3870;2467;2853;2451;2124;2056;1377;1918;1902;1985;2170;1552;547;666
Denmark;Atlantic cod;III b+c (not specified);1;-;-;-;-;-;-;-;-;-;-;-;12395;13861;12283;14260;14540;15035;14005;16704;15793;15427;17531;18294;22181;19149;16973;20476;19162;13832;18372;18464;17014;14798;-;-;17080;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;III c  Baltic 22;1;16303;16203;16042;12046;12236;12648;12430;12573;14720;11534;10483;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14133;15768;-;8923;7994;5718;3454;3234;5542;7566;5016;6069;11651;15380;15230;8493;11255;11473;8392;7018;5184;6308;4301;5341;4094;2850;1879;1691
Denmark;Atlantic cod;III d  (not specified);1;6611;11749;13045;12404;11359;12863;11778;15951;17586;19012;19827;25276;22084;23568;20279;21450;22658;25839;28320;29371;28016;30032;42037;44665;39510;46887;57094;55333;37075;41699;57551;76141;83432;93456;103644;90534;88413;76033;68183;62174;52744;43671;20404;4902;2747;3738;2608;4622;3051;3991;3287;17826;6062;9437;245;-;13;29;3;.;1
Denmark;Atlantic cod;III d  Baltic 24;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3509;6930;12557;7800;9173;9911;8406;671;3689;7;5840;7025;5624;5996;5398;5745;4909
Denmark;Atlantic cod;III d  Baltic 25;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5551;8935;13676;10244;5787;9761;6056;113;2646;5875;6349;5802;8328;5991;7068;7546;9195
Denmark;Atlantic cod;III d  Baltic 26;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;222;455;886;510;429;206;364;-;78;430;33;13;134;145;16;422;1154
Denmark;Atlantic cod;III d  Baltic 27;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;6;35;2;4;3;-;-;28;-;-;-;.;.;.;.
Denmark;Atlantic cod;III d  Baltic 28 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;637;309;393;269;74;141;5;-;9;<0.5;<0.5;-;-;.;.;.;.
Denmark;Atlantic cod;III d  Baltic 29;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;<0.5;47;4;-;-;<0.5;-;-;-;.;.;.;.
Denmark;Atlantic cod;IV (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41858;48509;56404;64968;61454;48828;46751;42547;7749;981;703;187;130;53;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;IV a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12017;8705;12629;12344;-;-;-;-;-;-;-;-;2802;3355;2558;2267;2777;2401;2548;2513;2761;2783;2868;2540;3138;2749;3042;1685;1993;1415;995;1079;914;715;792;1100;1679
Denmark;Atlantic cod;IV a+b (not specified);2;-;-;-;-;-;-;13467;15016;14430;14922;17580;18758;14787;21289;20472;29634;37406;38090;47293;36986;40017;68179;72520;47950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;IV b;1;7858;7208;10608;12458;12276;15723;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41456;37077;40598;29652;-;-;-;-;-;-;-;-;19287;30039;28540;20910;17397;15827;15489;16695;16260;20989;20284;19077;19132;16049;10537;6547;6967;3243;4887;5202;4183;2714;3038;3298;3988
