Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Denmark;European hake;II a (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;<0.5;-;-;-;-;-;-;-;.;.;.;.
Denmark;European hake;II a2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4;.;.;.
Denmark;European hake;III a;1;19;211;131;71;88;67;116;152;157;174;155;159;165;223;179;250;231;350;406;544;454;553;746;589;991;1071;1006;1343;1238;1231;1448;1422;1127;1085;1398;1126;809;1049;576;952;1583;1623;1546;1188;780;533;340;236;185;158;249;358;428;334;406;295;234;312;511;631;346
Denmark;European hake;III b  Baltic 23;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;1;-;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;-;<0.5;<0.5;<0.5;<0.5;-
Denmark;European hake;III b+c (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;-;-;.;.;.;.;<0.5;-;-;-;-;-;-;-;-;<0.5;-;-;<0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;European hake;III c  Baltic 22;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;<0.5;1;1;<0.5;1;1;1;-;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;-;<0.5;<0.5;<0.5;<0.5;-
Denmark;European hake;III d  (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;<0.5;2;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;-;<0.5;-;-;-;<0.5;<0.5;-;<0.5;<0.5;-;-;.;.;.;.
Denmark;European hake;III d  Baltic 24;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;<0.5;<0.5;<0.5;<0.5;<0.5;-;<0.5;<0.5;-;-;<0.5;<0.5;<0.5;<0.5;.
Denmark;European hake;III d  Baltic 25;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;<0.5;-;<0.5;-;-;<0.5;-;-;-;<0.5;-;<0.5;<0.5;<0.5;<0.5;.
Denmark;European hake;IV (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;544;538;650;820;529;584;466;648;70;4;12;4;11;7;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;European hake;IV a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287;261;232;245;336;342;322;478;237;97;164;192;71;84;114;218;194;244;182;268;412;501;623;1042;1199
Denmark;European hake;IV a+b (not specified);2;-;-;-;-;-;-;22;30;19;33;138;152;230;294;187;214;319;353;436;542;464;616;660;884;841;1231;933;308;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;European hake;IV b;1;6;5;12;9;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;644;598;778;856;923;1367;1500;1512;1108;856;364;242;335;604;448;467;541;621;769;692;713;407;533;505;644
Denmark;European hake;IV c;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;<0.5;<0.5;<0.5;1;1;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;-;<0.5;<0.5;<0.5;<0.5;<0.5;-;<0.5;<0.5;.;<0.5;.
Denmark;European hake;V a (South-West);1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Denmark;European hake;V b1 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
