Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Estonia;Atlantic cod;II b (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;-;-;-;-;-;14;-;-;15;-;-;.;.;.
Estonia;Atlantic cod;III d  (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1805;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Estonia;Atlantic cod;III d  Baltic 24;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;91;69;132;194;-
Estonia;Atlantic cod;III d  Baltic 25;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;147;382;1069;-;1060;974;511;744;36;547;1276;515;582;855;831;622;569
Estonia;Atlantic cod;III d  Baltic 26;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;1012;61;529;202;118;1155;-;-;-;-;-;-;-;3;30;21;7;.;223
Estonia;Atlantic cod;III d  Baltic 27;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;.;.;.
Estonia;Atlantic cod;III d  Baltic 28 (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;352;8;209;465;205;18;10;83;2;8;-;12;1;1;-;1;.;.;1
Estonia;Atlantic cod;III d  Baltic 28-1;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;-;.
Estonia;Atlantic cod;III d  Baltic 28-2;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;-;.
Estonia;Atlantic cod;III d  Baltic 29;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;5;-;19;<0.5;-;-;-;2;-;1;-;-;1;-;-;-;1;2;1
Estonia;Atlantic cod;III d  Baltic 32;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;1;1;-;-;-;-;1;-;2;-;<0.5;-;-;-;-;1;2;2
