Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Finland;Atlantic cod;III d  (not specified);1;-;-;-;86;86;86;86;86;86;-;-;-;28;12;16;23;26;27;70;58;70;53;76;95;160;310;286;310;1446;2938;2317;3249;3904;4677;5257;3793;2917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Finland;Atlantic cod;III d  Baltic 24;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;132;50;11;13;116;171;191;244;60;27;2;242;220;159;257;203
Finland;Atlantic cod;III d  Baltic 25;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121;272;211;208;45;17;74;1007;1838;965;661;1000;1367;1473;790;1000;843;256;288;499;644;610;565
Finland;Atlantic cod;III d  Baltic 26;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;461;81;497;749;128;43;114;432;827;389;256;444;246;47;2;89;6;17;134;132;26;.;253
Finland;Atlantic cod;III d  Baltic 27;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;103;27;80;-;47;92;248;105;<0.5;6;13;5;4;10;4;2;1;-;.;.;.
Finland;Atlantic cod;III d  Baltic 28 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;32;34;21;77;-;1;<0.5;173;168;53;100;3;20;<0.5;4;-;-;-;-;-;.;.;.
Finland;Atlantic cod;III d  Baltic 28-2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;2;.;.;.
Finland;Atlantic cod;III d  Baltic 29;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1207;998;493;162;209;38;2;213;-;<0.5;1;<0.5;<0.5;2;2;2;3;<0.5;-;-;<0.5;1;12;7
Finland;Atlantic cod;III d  Baltic 30;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;998;1256;1012;668;390;166;138;72;15;1;6;3;1;<0.5;1;<0.5;4;-;1;-;-;<0.5;<0.5;-
Finland;Atlantic cod;III d  Baltic 31;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;<0.5;-;3;2;<0.5;-;-;1;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;<0.5;-;<0.5;-;.;.;-
Finland;Atlantic cod;III d  Baltic 32;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;102;34;16;5;2;-;-;<0.5;-;<0.5;6;<0.5;<0.5;5;5;5;2;3;3;<0.5;<0.5;<0.5;1;-
