Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
France;Atlantic cod;I (not specified);1;3110;5310;27036;9060;16320;56651;67433;46596;38054;28381;22321;13755;20482;18318;8634;-;2222;-;-;-;-;34755;8915;17028;10674;19482;12286;7301;2446;661;706;1783;564;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;125;-;356;-;17;549;564;.;.
France;Atlantic cod;I a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;146;-;.;.;.;.
France;Atlantic cod;ICES Area (not specified);;-;-;-;-;-;-;-;-;-;-;126214;5088;5141;5290;1198;4095;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14431;-;-;-;-;-;-;-;.;.;4;9
France;Atlantic cod;II (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;526;-;-;-;-;44245;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;.;.;.;.;.
France;Atlantic cod;II a (not specified);1;8082;-;947;-;-;-;-;-;-;-;-;-;-;-;-;-;745;664;-;-;-;17;-;-;6204;3580;6040;6071;5315;2348;999;1323;197;126;11;23;3;1;2551;-;-;-;262;4;2;3;3221;2991;980;.;1696;1903;1782;1808;1906;899;2487;1319;1319;1;842
France;Atlantic cod;II b (not specified);1;-;-;-;1000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29150;5672;2615;2042;1633;37;-;-;-;-;-;-;-;-;-;778;252;-;-;-;-;-;2131;2362;217;.;979;770;1028;1113;1364;977;1872;1293;1306;.;.
France;Atlantic cod;III a;1;-;-;-;-;-;-;-;1757;2760;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;.;-;.;1;.
France;Atlantic cod;IV (not specified);1;2113;1541;-;-;-;-;-;-;-;-;-;5403;-;-;7779;16027;11941;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;.;2;1;.;.
France;Atlantic cod;IV a;1;-;-;1040;1000;1900;-;500;1000;1000;1548;-;-;107;110;-;-;-;13985;5173;2704;4898;6465;8197;3667;2591;3806;5240;2570;2390;2427;3342;4252;4063;5774;4334;2427;1934;1641;1661;-;-;-;407;494;348;426;305;163;118;.;118;121;105;61;30;389;53;88;89;51;244
France;Atlantic cod;IV b;1;-;-;822;717;181;2585;1383;1285;1760;1536;265;-;230;165;-;-;-;1;9679;5208;1223;1908;13475;6867;1348;1957;1083;955;1830;1351;1367;1794;956;1199;368;185;175;102;131;-;-;-;68;37;18;17;16;13;48;.;8;13;15;38;6;6;56;209;191;47;66
France;Atlantic cod;IV c;1;-;-;294;511;57;46;1066;897;2021;2632;709;-;292;270;-;-;-;2;5129;2548;9937;16396;2366;2713;3336;2904;1756;3986;7724;8781;6201;5323;3380;186;3427;2222;6293;6456;6531;2578;1641;975;1671;1337;1502;2597;1613;3275;2768;.;1096;583;1657;521;258;269;245;360;292;852;471
