Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
France;European hake;I (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;43;56;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;.;1;1;.;.
France;European hake;ICES Area (not specified);0;28;-;-;-;-;-;-;-;-;-;1334;208;1369;1347;295;178;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7378;-;-;-;-;-;-;-;.;.;29;95
France;European hake;II (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;.;.;.;.;.
France;European hake;II a (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;162;-;-;-;-;-;-;2;-;2;1;2;3;1;2;1;1;8;11;3;2;7;-;-;-;57;2;1;1;1;-;-;.;1;3;-;-;-;-;1;2;2;11;21
France;European hake;II b (not specified);1;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;.;.;.;1;1
France;European hake;III a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;.;.;.;1;.
France;European hake;IV (not specified);1;-;1372;-;-;-;-;-;-;-;-;-;868;-;-;619;244;222;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;.;.;.;.;.
France;European hake;IV a;1;-;-;-;-;-;-;-;-;100;300;-;-;-;-;-;-;-;97;176;180;297;215;-;83;440;326;674;596;397;563;821;454;204;553;503;948;334;371;380;585;748;134;109;91;77;64;128;13;19;.;169;107;28;20;80;167;139;293;286;549;16
France;European hake;IV b;1;-;-;-;-;329;500;220;300;135;300;-;-;-;-;-;-;-;1;-;197;1;-;-;29;-;-;2;-;3;12;5;2;<0.5;34;9;10;1;1;1;-;-;-;12;-;-;-;-;-;-;.;<0.5;-;-;-;-;-;-;-;<0.5;8;7
France;European hake;IV c;1;-;-;-;-;-;-;200;280;200;111;-;-;90;-;-;-;-;1;1;2;2;28;37;13;-;-;-;-;-;21;3;-;1;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;2;.;1;-;-;-;3;-;-;<0.5;.;1;1
France;European hake;IX (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2857;-;2051;2350;1987;1708;1529;585;-;-;94;89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;<0.5;-;-;-;-;-;.;.;.;.
France;European hake;IX a;1;-;-;-;-;-;-;-;-;1000;2100;3500;3100;3159;3182;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;-;.;.;1;.
France;European hake;V (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;.;.;.;.;.
France;European hake;V a (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;117;-;-;-;-;42;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;-;.;.;.;.
France;European hake;V b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;132;242;110;-;93;42;-;345;12;19;23;-;2;26;27;5;7;4;1;-;<0.5;1;2;9;3;8;7;-;-;-;255;-;-;-;-;-;-;.;-;3;-;-;-;-;4;1;1;10;15
France;European hake;V b1 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;5;-;-;-;-;-;-;.;.;.;.
