Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Germany;Atlantic cod;I (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;37;445;-;-;10;400;39;264;53;376;197;383;366;271;657;1718;504;.;.;933
Germany;Atlantic cod;I a;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;792;353;.
Germany;Atlantic cod;II a (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;834;1069;2608;3674;1830;2837;3308;1473;1181;1554;950;1169;1944;4028;2753;2485;2455;.;.;.
Germany;Atlantic cod;II a1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2802;3567;3578
Germany;Atlantic cod;II b (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1742;2414;3279;4793;5588;5089;3333;2104;1785;1583;3377;2965;2422;1888;2438;1037;1973;.;.;.
Germany;Atlantic cod;II b1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1379;4665;3838
Germany;Atlantic cod;III a;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;-;530;399;285;259;81;54;54;54;32;83;49;99;86;84;67;52;55;56
Germany;Atlantic cod;III b+c (not specified);2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1738;2732;2395;2151;5064;6893;6769;-;9165;7461;6566;4943;4385;3868;-;-;-;.;.;.
Germany;Atlantic cod;III c  Baltic 22;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;-;6599;-;-;-;-;-;-;4345;4677;4061;2721;1448;2107
Germany;Atlantic cod;III d  (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6899;3936;2732;4937;9617;13714;7714;-;6274;5618;6172;3799;3740;4539;-;-;-;.;.;.
Germany;Atlantic cod;III d  Baltic 24;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;-;3120;-;-;-;-;-;-;2661;2856;3557;2766;2572;2143
Germany;Atlantic cod;III d  Baltic 25;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;-;1159;-;-;-;-;-;-;2329;1999;1528;2341;3219;3798
Germany;Atlantic cod;III d  Baltic 26;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;-;107;-;-;-;18;-;-;11;26;2;.;10;110
Germany;Atlantic cod;III d  Baltic 28 (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;-;4;-;-;-;8;-;-;-;-;-;.;.;.
Germany;Atlantic cod;IV a;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2003;1998;2354;1663;2272;1633;979;1033;660;711;568;666;396;400;507;433;507;473;422;523
Germany;Atlantic cod;IV b;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5275;6447;4359;4253;6866;6551;4076;6092;2466;896;1188;1293;1520;1785;2106;2081;1382;1252;1908;2273
Germany;Atlantic cod;IV c;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;1;87;58;319;160;124;920;260;133;54;59;132;28;35;23;10;11;44;48
Germany;Atlantic cod;V a (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;<0.5;-;9;21;15;11;15;88;113;177;38;-;.;.;.
Germany;Atlantic cod;V b (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Germany;Atlantic cod;V b1 (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;16;12;-;-;2;-;-;-;39;2;9;6;7;3;-;1;-;.;.;.
Germany;Atlantic cod;VI a;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;60;5;94;100;18;63;5;6;8;6;4;-;-;-;-;2;2;1;-;-
Germany;Atlantic cod;VI b (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;126;2;-;-;-;10;22;3;11;1;-;-;-;-;-;-;-;.;.;.
Germany;Atlantic cod;VII b;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;.;.;.
Germany;Atlantic cod;VII j (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;-;-;-;.;.;.
Germany;Atlantic cod;XII (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;.;.;.
Germany;Atlantic cod;XIV (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8434;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;69
Germany;Atlantic cod;XIV a;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;5893;164;-;22;-;-;-;13;3;-;-;-;-;-;-;773;413;5;.
Germany;Atlantic cod;XIV b (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;5;39;128;-;-;92;5;-;-;-;-;-;.;.;.
