Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Iceland;Atlantic cod;I (not specified);1;-;-;-;-;-;-;775;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9374;32253;34214;23005;5891;1423;1985;3963;2187;2284;2305;2801;1734;1966;3637;3774;2932;5490
Iceland;Atlantic cod;ICES Area (not specified);0;-;-;-;-;-;-;-;-;-;-;-;2383;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Iceland;Atlantic cod;II a (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3730;3691;3658;4401;4346;4006;3640;3818;4723;5479
Iceland;Atlantic cod;II b (not specified);1;5203;2857;2723;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4484;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Iceland;Atlantic cod;IV a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;1;-;<0.5;<0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Iceland;Atlantic cod;V a (North-East);1;39082;20635;27276;25195;27826;31358;40537;36513;38432;38690;55178;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Iceland;Atlantic cod;V a (not specified);1;-;-;-;-;-;-;-;-;-;-;-;233874;221820;232839;273584;233483;223974;193449;227594;281680;302875;250323;225354;235184;238066;264975;280831;329676;319648;360077;429044;461038;382297;293890;281481;322810;365852;389808;375741;353985;333348;306697;266662;251170;177919;168685;181052;202745;241545;258658;234362;233875;206987;200327;220020;206343;193425;167159;143805;181321;167630
Iceland;Atlantic cod;V a (South-West);1;158351;162617;210038;238321;278365;284080;252049;210574;245975;245569;240490;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Iceland;Atlantic cod;V b1 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;.;.;.
Iceland;Atlantic cod;XII (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;.;.;.
Iceland;Atlantic cod;XIV (not specified);1;-;-;-;-;-;-;-;-;4099;5385;2543;1381;298;1804;2846;4713;3977;10474;6723;4473;5461;4581;3195;1446;3009;785;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Iceland;Atlantic cod;XIV b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3133;25;13;3;19;1;-;-;<0.5;-;<0.5;1;9;-;-;-;22;-;-;1;-;-;-;-;-;210;449;-;-;-;-;-;.;.;.
