Country;Species;Division;Fator;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Ireland;Atlantic cod;I (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;218;116;109;-;40;103;.;.
Ireland;Atlantic cod;II a (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;488;712;337;819;604;284;224;197;187;-;1;78;268;95;.;.;.
Ireland;Atlantic cod;II b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;91;242;453;776;249;268;99;57;91;81;93;62;55;162;.;141;.
Ireland;Atlantic cod;IV a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;98;136;174;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Ireland;Atlantic cod;VI a;1;90;50;141;140;256;331;248;341;159;246;254;235;203;311;364;489;373;932;807;538;1135;888;686;583;883;1141;1341;984;1214;2237;2331;2725;3527;2695;2316;2564;1704;2442;2551;1642;1200;761;761;645;825;1054;1286;708;478;223;357;319;210;120;34;28;18;70;58;24;49
Ireland;Atlantic cod;VI b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;400;236;235;472;280;477;436;153;227;148;119;40;18;11;7;12;23;24;41;20;6
Ireland;Atlantic cod;VII a;1;706;512;478;702;532;721;590;731;661;741;645;539;522;428;816;1003;1398;1611;2126;2176;1574;2800;2275;4224;3276;3477;4815;3862;3128;3755;4421;6552;4758;4032;2885;4121;3991;5017;5821;3656;2800;2364;2260;1328;1506;1414;2476;1492;1739;966;455;751;1111;594;380;220;275;608;618;323;289
Ireland;Atlantic cod;VII b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;758;388;915;410;407;310;336;287;280;350;175;219;145;125;98;56;55;54;30;15;10;17;28;36
Ireland;Atlantic cod;VII b+c  (not specified);2;17;3;2;12;12;42;25;41;68;17;15;10;14;86;49;56;171;184;201;139;158;114;77;253;77;215;290;132;173;286;320;765;1234;579;524;494;619;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Ireland;Atlantic cod;VII c (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;385;205;197;21;2;2;3;2;15;9;16;9;3;4;6;2;1;1;1;1;1
Ireland;Atlantic cod;VII e;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3;7;-;2;-;-;-;1;-;-;2;-;.;.
Ireland;Atlantic cod;VII f;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;155;73;69;-;-;-;-;-;1;-;3;-;5;1;3;11;12;4;3;2;1
Ireland;Atlantic cod;VII g;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;338;725;387;221;115;130;390;822;322;845;418;658;1202;1070;912;564;376;473;676;755;681;628;612;795
Ireland;Atlantic cod;VII g-k  (not specified);2;38;28;53;54;120;120;204;216;261;224;436;382;281;283;364;257;331;493;360;306;379;233;275;315;206;259;216;183;150;266;708;777;672;887;891;880;890;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Ireland;Atlantic cod;VII h;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70;41;33;-;1;18;13;24;26;14;13;9;1;6;16;21;9;5;2;9;13
Ireland;Atlantic cod;VII j (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;543;868;857;584;1057;630;435;649;1127;1059;1132;1066;582;422;251;252;227;63;82;80;88;54;47;82
Ireland;Atlantic cod;VII k (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;410;315;209;-;-;-;-;-;1;5;19;4;2;1;1;1;-;1;1;-;-
