Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Ireland;European hake;I (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;<0.5;.
Ireland;European hake;IV a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Ireland;European hake;IX a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;.;.;.;.
Ireland;European hake;VI a;1;14;18;93;18;5;31;13;62;15;10;12;55;26;16;17;54;32;23;22;36;43;19;7;21;17;26;37;25;23;18;22;27;27;73;84;113;163;252;265;730;207;151;241;251;244;350;246;249;321;248;266;101;32;79;105;106;131;208;243;359;507
Ireland;European hake;VI b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;115;76;102;1;-;-;-;1;33;2;2;1;-;1;-;-;1;1;2;2;1
Ireland;European hake;VII a;1;68;29;16;53;40;64;46;37;50;60;53;86;89;48;52;15;7;10;50;37;9;19;37;77;62;63;122;96;152;95;187;228;270;400;373;395;228;239;237;321;106;85;122;242;225;116;101;81;58;52;65;36;27;67;28;29;20;31;15;15;17
Ireland;European hake;VII b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;298;128;89;176;107;156;415;237;196;178;198;171;286;275;181;79;113;134;125;160;162;136;174;230
Ireland;European hake;VII b+c  (not specified);2;.;1;1;7;38;39;3;9;6;3;3;8;-;4;7;3;2;1;.;.;1;1;6;14;18;25;23;6;6;11;29;208;188;122;140;134;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Ireland;European hake;VII c (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;26;40;9;13;19;11;11;32;193;91;53;21;55;60;67;76;103;46;37;40
Ireland;European hake;VII e;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;<0.5;-;-;-;-;-;-;-;-;-;-;11;11;-;-;-;-;1;-;-;1;-;-;-;-;-;<0.5;-;.;.;.
Ireland;European hake;VII f;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;16;30;-;-;-;-;-;-;-;-;-;-;2;1;3;1;2;1;-;1
Ireland;European hake;VII g;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66;353;23;61;45;70;326;163;88;59;105;99;363;468;385;247;304;381;339;323;403;518;561;616
Ireland;European hake;VII g-k  (not specified);2;23;54;84;27;29;13;10;27;7;29;20;20;54;71;41;27;46;108;11;10;2;3;6;12;14;12;26;15;29;181;419;343;620;800;712;656;1642;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Ireland;European hake;VII h;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;106;78;120;-;-;3;6;3;4;2;2;13;-;4;13;4;2;1;1;4;17
Ireland;European hake;VII j (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1159;978;942;1101;877;1312;1295;1293;1394;1133;1618;1192;692;773;281;202;309;212;231;258;406;338;441;561
Ireland;European hake;VII k (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;325;301;310;-;-;20;6;3;61;254;94;73;90;143;110;140;144;122;94;26;58
Ireland;European hake;VIII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
