Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Latvia;Atlantic cod;II b (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Latvia;Atlantic cod;III c  Baltic 22;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7;-;.;.;.
Latvia;Atlantic cod;III d  (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;11699;6128;5381;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Latvia;Atlantic cod;III d  Baltic 24;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;-;-;32;-;13;25;84;46;71;126;245;474;579;273;30;23;158
Latvia;Atlantic cod;III d  Baltic 25;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;530;723;1217;1354;1657;1298;1585;1464;1179;1051;2873;1076;803;1594;1945;2069;1268
Latvia;Atlantic cod;III d  Baltic 26;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;1190;380;305;1360;3884;6268;4052;4760;4384;3720;4020;2855;2390;1587;2078;2870;2135;1906;2349;3676
Latvia;Atlantic cod;III d  Baltic 27;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;10;34;3;-;-;.;.;.
Latvia;Atlantic cod;III d  Baltic 28 (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;1432;870;1028;489;1864;1224;781;1348;1207;891;768;758;1057;288;365;308;266;138;170;58
Latvia;Atlantic cod;III d  Baltic 29;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5160
