Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Netherlands;Atlantic cod;I (not specified);1;133;502;154;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Netherlands;Atlantic cod;ICES Area (not specified);0;220;532;-;-;-;-;-;-;-;-;-;-;-;-;-;-;917;3369;1132;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;.;.
Netherlands;Atlantic cod;II a (not specified);1;-;64;2;-;-;-;-;-;1;-;-;-;-;-;544;816;121;6;-;133;-;-;-;-;-;-;182;-;36;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;.;.
Netherlands;Atlantic cod;II b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Netherlands;Atlantic cod;III a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;270;558;272;85;98;235;825;540;148;117;156;111;103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;23;21;47;19;13;1;26
Netherlands;Atlantic cod;III d  (not specified);1;-;117;103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Netherlands;Atlantic cod;IV (not specified);1;2909;2807;3838;4591;4907;4314;4161;5983;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25460;30844;25082;21347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Netherlands;Atlantic cod;IV a;1;-;-;-;-;-;-;-;-;3384;3548;2790;2289;1466;1947;1497;2839;2035;2133;1731;1131;756;977;1102;1100;852;612;639;391;276;101;9;-;-;23;-;-;-;-;48;40;69;45;117;49;4;7;5;4;-;9;7;1;6;1;6;6;25;13;6;10;9
Netherlands;Atlantic cod;IV b;1;-;-;-;-;-;-;-;-;2138;2204;4099;3964;4462;4457;4770;7032;6380;7006;9991;8091;5928;10646;18010;7879;8478;9925;8823;12141;19662;13143;21853;28123;19702;20043;-;-;-;-;3962;2598;3094;2557;4845;4622;2823;4255;4065;4728;4628;3017;1605;1072;887;571;514;712;608;541;504;641;819
Netherlands;Atlantic cod;IV c;1;-;-;-;-;-;-;-;-;521;768;1385;1849;1752;1226;3590;10717;14004;14023;18282;10289;18528;34991;28522;16779;14699;12726;12373;17371;28879;21508;23446;23158;16788;14045;-;-;-;-;12958;9390;5278;4229;6171;5549;3685;6937;5201;7075;10048;6042;4383;2501;3814;1733;1206;942;952;969;1386;1998;1829
Netherlands;Atlantic cod;V a (not specified);1;970;342;-;-;-;-;-;2;-;-;-;70;453;693;700;512;78;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Netherlands;Atlantic cod;V a (South-West);1;-;-;99;-;116;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Netherlands;Atlantic cod;V b1 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;36;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.
Netherlands;Atlantic cod;V b2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Netherlands;Atlantic cod;VI a;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;31;1;36;48;10;5;10;21;4;5;5;11;5;3;20;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;.;.
Netherlands;Atlantic cod;VII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;3;2;1;-;4;148;58;35;113;53;87;32;15;11;36;94;48;34;38;104;-;-;-;-;-;-;-;-;-;-;25;29;20;5;1;-;-;-;-;-;-;-;-;.;.
Netherlands;Atlantic cod;VII a-f  (not specified);2;-;-;7;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
