Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Norway;Atlantic cod;I (not specified);1;53285;45707;73357;76752;54163;82810;98108;87854;91463;80643;69777;84622;51713;55931;31426;59221;47725;62899;60846;78880;94187;55093;55405;85257;80000;115913;155539;158022;127950;85345;71796;61664;68329;41374;43620;55414;75846;41695;44856;38726;15777;15166;34818;45262;69518;44212;66480;74312;61122;48874;44978;40055;51427;30053;40657;40061;29590;37334;29833;.;.
Norway;Atlantic cod;I b;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;42185;46252
Norway;Atlantic cod;II a (not specified);1;226289;285434;240503;156816;158726;204492;257770;163536;208211;225527;190295;177332;170164;160685;133095;149573;189575;165708;204172;286134;309273;379198;356730;214071;222267;196356;219786;261974;265666;240582;200093;265237;258918;230379;218636;181007;168246;186874;181596;139233;95812;133063;159990;213443;261828;251794;247505;286376;236019;183018;159500;149158;163539;169482;162431;151965;152852;148454;151637;.;.
Norway;Atlantic cod;II a2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;141186;191376
Norway;Atlantic cod;II b (not specified);1;1624;2975;4263;4064;4078;5776;6409;31904;12684;22021;11873;26048;24335;15603;9785;7273;5600;2453;3443;2905;3200;12576;12000;4519;26000;15335;9721;9000;3500;199;116;90;141;248;2330;2462;14659;70364;20581;1785;5886;6446;11081;6296;33439;60650;36408;32809;16531;15285;6633;13806;6463;11290;22634;29196;34557;27073;29013;.;.
Norway;Atlantic cod;II b2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;53909;39848
Norway;Atlantic cod;III a;1;1248;681;701;565;667;711;733;1101;910;1065;1092;1099;1116;872;1162;914;1016;1347;1390;903;882;1355;1201;1253;1197;1190;1241;982;1305;1752;1982;2078;1779;1871;1659;1188;1077;1016;1161;1003;1061;924;1208;1043;850;1039;1046;1323;1293;1146;926;762;645;825;856;759;628;681;779;440;433
Norway;Atlantic cod;III d  (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;293;289;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Norway;Atlantic cod;IV (not specified);1;-;-;-;-;-;-;-;-;4571;5673;3736;-;-;-;-;5036;3574;5720;8284;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Norway;Atlantic cod;IV a;1;-;-;-;1851;-;-;-;-;-;-;-;2939;4061;3530;4707;-;-;-;-;-;-;-;-;4831;2331;1478;1844;1428;2358;3197;3955;6622;11893;6524;6982;5528;4783;4940;3563;4622;4724;5685;9730;8557;7534;6960;5093;4976;4614;5893;5731;3933;4360;3414;2515;2430;2031;2051;2824;2683;2797
Norway;Atlantic cod;IV a+b (not specified);2;4657;2948;2893;-;2152;3506;4225;4547;-;-;-;-;-;-;-;-;-;-;-;8953;5374;7732;4377;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Norway;Atlantic cod;IV b;1;-;-;-;-;-;-;-;-;-;-;-;873;-;4;-;-;-;-;-;-;-;-;-;-;150;50;33;21;308;378;551;144;270;101;23;183;81;6;22;191;434;337;746;183;165;150;765;792;1158;1529;679;435;854;1003;708;470;713;1006;1304;1551;1701
Norway;Atlantic cod;IV c;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;55;-;54;-;-;10;-;-;2;8;1;11;46;51;10;-;1;3;<0.5;<0.5;-;5;-;<0.5;.;.
Norway;Atlantic cod;V a (not specified);1;637;3831;4108;7465;7224;7053;4575;8231;6829;5460;3429;4214;4700;3510;2688;419;469;185;277;363;382;300;613;268;171;144;514;108;189;288;358;559;557;109;90;46;1;4;4;3;-;-;-;-;-;-;7;-;-;85;60;65;73;56;90;77;78;110;49;.;.
Norway;Atlantic cod;V a2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;30;28
Norway;Atlantic cod;V b (not specified);1;22;-;-;-;124;-;-;-;-;-;-;168;505;147;333;419;314;650;686;483;238;881;266;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Norway;Atlantic cod;V b1 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115;446;1353;1282;864;245;274;127;240;90;76;22;28;83;21;163;285;124;89;39;57;36;38;507;410;405;450;374;531;573;447;414;201;49;71;40;.;.
Norway;Atlantic cod;V b1B;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;14;10
Norway;Atlantic cod;V b2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;99;183;33;54;120;16;17;11;23;6;23;94;128;72;38;32;2;8;40;55;135;147;88;49;51;25;72;18;37;10;7;1;4;1
Norway;Atlantic cod;VI a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97;48;-;-;-;13;14;17;22;29;40;32;48;40;238;267;231;204;174;77;186;207;150;40;171;72;51;61;137;36;36;79;114;39;88;45;10;17;30;30;65;18;21
Norway;Atlantic cod;VI b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;8;3;69;138;80;134;51;462;373;202;95;130;195;148;119;312;199;199;120;92;91;55;52;85;152;89;28;25;23;7;7;12;12;.;.
Norway;Atlantic cod;VI b1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;8
