Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Norway;European hake;I (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;1;-;-;-;-;<0.5;1;<0.5;-;4;<0.5;<0.5;<0.5;-;<0.5;-;-;<0.5;-;<0.5;-;-;<0.5;-;-;<0.5;-;-;1;1;.;.
Norway;European hake;II a (not specified);1;1;1;50;1;1;11;6;14;2;102;124;3;-;-;-;-;-;-;10;104;63;56;43;42;50;25;20;19;17;30;48;30;38;42;64;81;28;33;85;69;134;186;274;299;286;570;635;666;583;370;438;349;278;323;325;482;624;622;673;.;.
Norway;European hake;II a2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;577;603
Norway;European hake;II b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;<0.5;-;-;-;-;-;-;-;-;<0.5;-;-;<0.5;1;6;.;.
Norway;European hake;II b2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4;4
Norway;European hake;III a;1;1;-;11;14;-;2;-;14;-;8;-;1;1;7;18;32;28;21;21;36;22;31;57;128;130;102;152;134;104;129;112;91;90;81;109;81;74;82;60;56;113;115;154;125;58;30;28;31;22;31;37;40;38;44;58;84;84;112;161;79;96
Norway;European hake;IV (not specified);1;-;-;-;-;-;-;-;-;74;69;93;-;-;-;-;373;428;318;470;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Norway;European hake;IV a;1;-;-;-;8;-;-;-;-;-;-;-;128;185;458;409;-;-;-;-;-;-;-;-;979;551;305;446;257;275;272;288;219;244;144;201;261;168;206;202;269;420;505;442;460;240;179;268;283;219;207;218;233;208;235;245;291;454;535;726;953;857
Norway;European hake;IV a+b (not specified);2;.;9;10;-;12;18;15;53;-;-;-;-;-;-;-;-;-;-;-;475;713;763;613;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Norway;European hake;IV b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;9;6;7;6;4;2;2;9;2;<0.5;3;2;<0.5;2;2;2;8;2;3;4;4;7;1;1;2;1;14;11;7;14;14;18;22;42;81;74
Norway;European hake;IV c;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;.;<0.5;.
Norway;European hake;V a (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;1;.;.;.
Norway;European hake;V a2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;<0.5;.
Norway;European hake;V b1 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;<0.5;-;<0.5;<0.5;<0.5;-;-;<0.5;-;-;<0.5;-;<0.5;-;-;-;<0.5;-;-;-;-;-;-;-;<0.5;-;-;-;1;.;.;.
