Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Poland;Atlantic cod;I (not specified);1;.;.;.;.;.;-;-;-;-;12;20;-;-;-;-;-;-;-;-;70;42;12;668;764;2917;2860;1029;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;363;51;284;424;274;-;36;572;555;299;-;589;.;187
Poland;Atlantic cod;ICES Area (not specified);0;.;.;.;.;.;-;-;-;-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Poland;Atlantic cod;II a (not specified);1;.;.;.;.;.;-;-;-;14;-;-;-;-;108;-;-;-;-;-;155;2216;974;157;13;210;478;750;245;289;13;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;363;.;818
Poland;Atlantic cod;II b (not specified);1;.;.;.;.;.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7631;2895;526;67;66;6771;4097;5207;839;277;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1094;2242;1851;1173;778;1025;1279;1190;879;525;568;820;1137;1190;1681
Poland;Atlantic cod;III a;1;.;.;.;.;.;-;-;-;-;-;-;-;-;13;51;48;3;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Poland;Atlantic cod;III d  (not specified);1;.;.;.;.;.;39030;49953;56151;36509;34995;49412;37892;40942;47514;39735;41498;56007;56003;63245;60749;68440;54151;56746;49790;48650;69318;70466;47703;64113;79697;123486;120942;92541;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Poland;Atlantic cod;III d  Baltic 24;1;.;.;.;.;.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;519;499;470;279;325;474;854;3959;399;497;138;91;713;663;263;623;660;926;646;782;558;535;1095;795;2372;1351;528;319
Poland;Atlantic cod;III d  Baltic 25;1;.;.;.;.;.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34634;34762;18862;18019;11929;14436;17158;11222;9454;4952;4943;9659;18049;22144;18884;14482;15957;15128;14591;11096;11092;10920;7642;8878;5820;4768;6635;6565
Poland;Atlantic cod;III d  Baltic 26;1;.;.;.;.;.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41321;58168;43928;24939;20413;18441;13843;13549;15895;7865;3828;4676;6239;12049;12512;10673;9964;6066;6755;4014;4379;3635;4024;5407;2771;3044;4009;5271
Poland;Atlantic cod;III d  Baltic 27;1;.;.;.;.;.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;.;.;.
