Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Spain;Atlantic cod;I (not specified);1;-;-;-;-;-;-;-;-;247;-;-;-;-;-;-;-;-;-;-;-;-;-;4551;3001;8302;4630;1620;179;2;8;1285;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;5;-;-;-;-;-;-;-;-;-;50;234;.;1686
Spain;Atlantic cod;ICES Area (not specified);0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;II a (not specified);1;-;-;-;-;-;-;-;-;885;-;-;-;-;-;-;-;-;-;-;-;-;213;403;390;1101;1230;5430;1796;1192;1754;1530;-;-;-;-;-;-;-;10905;-;-;-;-;-;3423;3936;4672;4861;3709;2465;2284;5415;2317;2449;-;1094;-;1003;558;234;804
Spain;Atlantic cod;II b (not specified);1;-;-;-;-;-;-;6332;-;1577;-;-;-;-;-;-;-;-;-;-;-;-;2;27;84;407;2340;3070;11673;3432;5370;4896;-;14515;14229;8608;7846;3737;10612;-;5211;2279;3677;6217;8800;11506;11525;11425;12294;10503;7569;6411;14816;6056;6614;21541;8659;405;3701;8863;11237;10167
Spain;Atlantic cod;IV a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;51;36;38;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;IV b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;39;44;25;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;IX a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;106;-;-;-;.;2;4
Spain;Atlantic cod;V a (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Spain;Atlantic cod;V b1 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;21;20;30;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;V b2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;34;40;55;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VI (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VI a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;102;208;137;180;15;-;-;-;-;-;41;52;64;28;-;-;-;85;-;-;-;-;-;16;<0.5;6;42;45;14;3;11;3;-;-;-;.;.;.;.
Spain;Atlantic cod;VI b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;70;58;42;241;1200;1219;808;1345;-;64;70;-;-;-;2;5;1;6;4;3;1;<0.5;6;-;-;-;.;.;.;.
Spain;Atlantic cod;VII (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;.;.;.;.
Spain;Atlantic cod;VII b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;<0.5;5;1;2;<0.5;1;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VII b+c  (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;28;22;42;120;14;4;-;9;15;11;16;24;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VII c (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1;<0.5;1;1;1;1;<0.5;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VII g;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;<0.5;-;1;3;1;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VII g-k  (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;122;273;210;546;920;37;7;-;8;22;18;12;32;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VII h;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;9;21;8;14;19;8;1;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VII j (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;60;38;116;56;26;38;23;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VII k (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;<0.5;1;<0.5;<0.5;-;<0.5;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VIII (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;2020;2958;2735;936;658;392;531;368;-;-;9;30;40;31;89;289;-;464;738;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VIII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;1;<0.5;<0.5;-;-;-;-;-;-;.;.;.;.
Spain;Atlantic cod;VIII b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;.;.;.;-
Spain;Atlantic cod;VIII c;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;<0.5;.;<0.5;-
Spain;Atlantic cod;X (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;.;.;.;.
Spain;Atlantic cod;XIV b (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;.;5;.;.
