Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Spain;European hake;ICES Area (not specified);0;3073;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Spain;European hake;III b+c (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Spain;European hake;IV a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;121;82;95;55;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;European hake;IV b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;59;26;25;37;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;2
Spain;European hake;IV c;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Spain;European hake;IX (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45829;46640;45695;45101;37524;38557;41783;2102;15141;20812;14057;18975;13710;17501;8820;8099;7772;5576;9250;12055;14907;14880;8233;8080;6060;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;European hake;IX a;1;18578;22511;23324;23571;26534;52741;25892;31432;28490;25733;28336;31728;35809;39778;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;651;608;578;575;511;373;753;516;892;717;1122;1308;1274;882;-;970;754;1085;963;1123;1651;1512
Spain;European hake;IX b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;3;3;11;15;17;27;21;19;-;-;-;-;.;.;.;.
Spain;European hake;V b1 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;151;116;90;62;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;25;.
Spain;European hake;V b2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;189;78;130;105;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;European hake;VI (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1579;1340;1145;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;European hake;VI a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;851;6003;6455;6980;6305;4120;-;-;-;-;-;605;790;120;409;724;1201;1340;840;647;1217;1278;1342;667;2162;402;911;1465;1499;2917;420;1432;-;1484;2346;4146;398;2855;4217;3754
Spain;European hake;VI b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;932;745;1220;1180;830;422;1285;2000;1336;930;1029;749;1370;205;1085;60;11;5;4;24;2;<0.5;2;-;-;1;1;2;<0.5;1;.
Spain;European hake;VII (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;.
Spain;European hake;VII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;10;.;.;.;.
Spain;European hake;VII b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71;19;23;115;142;120;25;133;227;186;448;125;452;569;321
Spain;European hake;VII b+c  (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1848;1962;1845;2045;1890;1710;1589;872;1575;642;772;948;978;1100;1326;2426;3633;4033;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;European hake;VII c (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;901;450;843;1033;989;1199;1035;618;417;306;982;1062;565;156;546;547;791;600;411;768;1284;928
Spain;European hake;VII d;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;.;.;.;.
Spain;European hake;VII d+e (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Spain;European hake;VII e;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;42;1;33;-;-;-;<0.5;-;-;-;-;-;-;-;5;.;.;<0.5;-
Spain;European hake;VII f;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;143;50;-;<0.5;17;-;-;<0.5;-;5;4;.;.;.;.
Spain;European hake;VII g;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;16;47;37;12;6;<0.5;46;1;<0.5;17;69;25;-;7;14;15;20;7;24;7;10
Spain;European hake;VII g-k  (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21000;-;-;-;-;-;5940;18260;17993;19944;18587;19110;3710;4114;4500;2180;1876;2152;1942;2200;2301;3627;4551;5229;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;European hake;VII h;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1302;1247;1123;1272;990;787;2034;1110;798;591;532;782;422;269;990;1141;626;543;116;375;365;355
Spain;European hake;VII j (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4282;2988;4302;5955;5281;6010;7350;5505;7173;7210;7774;6881;3982;4917;5040;6447;6621;4306;3331;4877;4195;6032
