Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Sweden;Atlantic cod;ICES Area (not specified);0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;493;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Sweden;Atlantic cod;II a (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Sweden;Atlantic cod;III a;1;6802;6354;6230;6616;7216;7721;7678;8829;10282;8254;8183;8805;-;-;-;-;-;-;-;-;-;-;-;-;-;5027;4537;5137;3866;5619;5918;8084;6753;5820;5462;5554;2901;3791;3007;3288;2322;5852;5294;5124;4670;5187;4279;4637;4269;4497;2734;2333;1716;1374;1004;861;688;618;518;521;497
Sweden;Atlantic cod;III b  Baltic 23;1;1016;835;917;709;517;491;413;525;420;257;327;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;942;1408;1023;920;801;742;523;610;551;753;704;-;532;269;463
Sweden;Atlantic cod;III b+c (not specified);2;-;-;-;-;-;-;-;-;-;-;-;331;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;55;900;5;15;18;206;209;186;240;189;124;227;275;260;349;441;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Sweden;Atlantic cod;III b-d (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;25140;22827;16222;15736;16182;17784;18508;16656;13664;12945;13762;16134;14184;-;22802;18327;15996;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Sweden;Atlantic cod;III c  Baltic 22;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;5;-;2;2;6;-;1;1;575;.;1;3
Sweden;Atlantic cod;III d  (not specified);1;20274;20505;24558;19450;18582;20577;19765;26393;20804;22598;27308;28370;-;-;-;-;-;-;-;-;-;-;-;-;-;15168;-;-;-;23982;34034;43400;44802;54861;65770;54517;48595;50000;57787;55730;54349;39325;15969;11941;25336;26848;3209;1848;-;-;-;-;-;-;-;-;-;-;.;.;.
Sweden;Atlantic cod;III d  Baltic 24;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4020;2413;1636;1670;2636;2452;2109;1871;1832;1572;1865;2323;2193;1816;1118
Sweden;Atlantic cod;III d  Baltic 25;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21165;18701;10704;10903;13542;15117;10860;10884;12294;8041;9038;9478;8800;10074;9033
Sweden;Atlantic cod;III d  Baltic 26;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2654;1924;2542;1316;1048;917;284;253;26;48;503;50;9;16;839
Sweden;Atlantic cod;III d  Baltic 27;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3546;2278;1205;2016;1277;1496;1179;984;459;64;99;105;90;74;45
