Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Sweden;European hake;ICES Area (not specified);0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Sweden;European hake;II a (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Sweden;European hake;III a;1;574;376;364;332;302;283;310;227;176;172;188;202;-;-;-;-;-;-;-;-;-;-;-;-;-;159;174;284;203;322;201;103;106;65;88;63;45;49;38;50;98;103;141;162;121;32;40;23;15;15;22;43;32;38;56;47;47;46;101;46;44
Sweden;European hake;III b+c (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;-;<0.5;-;.;.;.
Sweden;European hake;III d  (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;<0.5;-;-;-;-;-;-;-;.;.;.
Sweden;European hake;IIIa  and  IVa+b  (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;423;296;347;410;374;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Sweden;European hake;IV (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Sweden;European hake;IV a;1;-;-;-;-;-;-;-;-;967;374;381;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;15;3;4;8;8;8;16;11;14;11;15;9;10;65;17;10
Sweden;European hake;IV a+b (not specified);2;1178;865;869;821;732;1021;974;887;-;-;-;415;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154;-;-;-;23;8;8;13;15;51;39;29;33;24;41;138;60;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.
Sweden;European hake;IV b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;8;1;6;3;4;4;3;8;3;6;9;5;5;16;12;17
