country;groupEU;nareas;;groupEU;nareas;diff
Belgium;0;11.65116279;Belgium;1;9.5;-2.151162791
Denmark;0;7.069767442;Denmark;1;12.55555556;5.485788114
Estonia;0;2;Estonia;1;3.666666667;1.666666667
France;0;14.90697674;France;1;20.41176471;5.504787962
Germany;0;13.5;Germany;1;13.22222222;-0.277777778
Latvia;0;1.8;Latvia;1;4;2.2
Lithuania;0;1;Lithuania;1;1.222222222;0.222222222
Netherlands;0;6.930232558;Netherlands;1;5.166666667;-1.763565891
Poland;0;6.815789474;Poland;1;5.222222222;-1.593567251
Portugal;0;2.277777778;Portugal;1;2.888888889;0.611111111
Spain;0;4.90625;Spain;1;5.277777778;0.371527778
