COUNTRIES,SPECIES,ABUNDANCE,TEMPERATURE,OVEREXPLOITATION,RECOVERY,ADAPTIVE.MNG,CATCH.DEP,FLEET.MOBILITY,GEAR.DIVERSITY,STRENGTH,QUOTAS,PROPERTY.RIGHTS,ORGANIZATION,Resilience_Index
BE,European hake,0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.0343877883349145,0.941877022871939,0.21603331598126,0,1,0.976230955487013,0.686507936507937,0,0.5687563352734
DK,European hake,0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.223153583396678,0.799654763189125,0.79281045751634,0.238095238095238,0.548672566371681,0.966755115961611,0.80952380952381,0.032258064516129,0.6150802168890294
DE,European hake,0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.106423183639233,0.979177904844104,0.435733703510903,0.19047619047619,0.592920353982301,0.976066938123053,0,0.354838709677419,0.550472999029245
ES,European hake,0.482031892306608,0.642857142857143,0.802121348949767,0.71215972621027,0.523558768831605,0.805653623637933,0.270640291514836,0.666666666666667,0,0.844005861403374,1,1,0.6458079435315166
FR,European hake,0.669099811087635,0.642857142857143,0.932928063348507,0.677811795680795,0.228883665850928,0.903275097097853,1,0.571428571428571,0.247787610619469,0.930127698879676,0.46031746031746,0.516129032258065,0.648387162452175
NL,European hake,0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.168747259688577,NA,0.128561513100816,NA,0.47787610619469,0.976375299587116,0.742063492063492,0.290322580645161,0.5042745023472487
PT,European hake,0.13666199189682,0.642857142857143,0.267762845296341,0.740198393953708,0.108139580651305,0.606969468119538,0.224119382266181,0.285714285714286,0.0973451327433627,0.979181023732363,0.738095238095238,0.451612903225806,0.43988811571267433
SE,European hake,0.708635729922673,0.642857142857143,0.949202720831385,0.669343410486538,0.566831477726793,0.137015859316,NA,0.571428571428571,0.734513274336283,0.976052697984874,0.654761904761905,0.161290322580645,0.5997520901436056
BE,Atlantic cod,0.134048074035151,0.214285714285714,0.107806312032166,0.456778460085026,0.0343877883349145,0.97269540942928,0.21603331598126,0.238095238095238,1,0.957671260351625,0.686507936507937,0,0.418192459094859
DK,Atlantic cod,0.405916355374536,0.214285714285714,0.15165935800581,0.650508225264587,0.223153583396678,0.714153805696407,0.79281045751634,0.333333333333333,0.548672566371681,0,0.80952380952381,0.032258064516129,0.4063562727737523
DE,Atlantic cod,0.39969996414688,0.214285714285714,0.476086856185739,0.840866958095404,0.106423183639233,0.947471634840148,0.435733703510903,0.380952380952381,0.592920353982301,0.738839032114434,0,0.354838709677419,0.457343207619213
EE,Atlantic cod,0.151736048645343,0.214285714285714,0.176076915724941,0.950857825746804,0.0288182275768422,0.734597246197001,0.311487072705188,0.333333333333333,0.787610619469027,0.936396958481211,0.658730158730159,0.161290322580645,0.453768370289684
IE,Atlantic cod,0.301584619445801,0.214285714285714,0.459898648251532,0.451739819898394,0.0652287876682911,0.793325466609127,NA,0.80952380952381,0.628318584070796,0.917044951487797,0.714285714285714,0.0967741935483871,0.5006696941952034
ES,Atlantic cod,0.58443022403644,0.214285714285714,0.8426697622706,0.763816721776098,0.523558768831605,0.769666001366562,0.270640291514836,0.0476190476190476,0,1,1,1,0.584723877641742
FR,Atlantic cod,0.311679701909354,0.214285714285714,0.504080717702963,0.439841455724683,0.228883665850928,0.884501716069695,1,0.476190476190476,0.247787610619469,0.861126017760747,0.46031746031746,0.516129032258065,0.5120686307241293
LV,Atlantic cod,0.134368395450906,0.214285714285714,0.151564284322237,0.95276334435522,0.0387263785859027,0.679037652389686,0.357192434495922,0.428571428571429,0.876106194690265,0.824104803811322,0.662698412698413,0.0645161290322581,0.4486612643907727
LT,Atlantic cod,0.134368395450906,0.214285714285714,0.151564284322237,0.95276334435522,0.00934917416616275,0.692689880245981,0.154901960784314,0.428571428571429,0.47787610619469,0.874259971426079,0.666666666666667,0.032258064516129,0.39912958258212733
NL,Atlantic cod,0.515574033420086,0.214285714285714,0.0155740334200859,0.527633443552197,0.168747259688577,0.64198568480958,0.128561513100816,0.0476190476190476,0.47787610619469,0.911858450255713,0.742063492063492,0.290322580645161,0.3901751132545967
PL,Atlantic cod,0.18844044403913,0.214285714285714,0.227987545891094,0.946471852385441,0.506393282451395,0.760219987323336,0.141234310833478,0.428571428571429,0.778761061946903,0.664082197564368,0.686507936507937,0.419354838709677,0.49685921670915834
PT,Atlantic cod,0.954309100867999,0.214285714285714,0.842664661467503,0.566898297184773,0.108139580651305,0.460908741503938,0.224119382266181,0.0476190476190476,0.0973451327433627,0.984470467648382,0.738095238095238,0.451612903225806,0.47420568896327064
FI,Atlantic cod,0.134368395450906,0.214285714285714,0.151564284322237,0.95276334435522,0.0225176757849303,0.825847313626065,NA,0.380952380952381,0.787610619469027,0.900902683202824,0.662698412698413,NA,0.5189183766160217
SE,Atlantic cod,0.247229561472079,0.214285714285714,0.15156405439688,0.835495340585075,0.566831477726793,0.759105193836084,NA,1,0.734513274336283,0.479160965247695,0.654761904761905,0.161290322580645,0.5482958360902873
