COUNTRIES;GDP.2016;OHI.wild.caught;OHI.eco;Tech..develop..2013;Inclusion.of.Requirements.2010;Readiness;Vulnerability
BE;45.047;62;82;2;20;0.6;0.361
DE;48.111;43;92;17;22;0.688;0.292
DK;47.985;48;71;7.5;22;0.762;0.342
EE;29.313;98;75;NA;17;0.625;0.375
ES;36.416;41;79;10;17;0.566;0.308
FI;42.165;96;84;3.5;22;0.751;0.308
FR;42.314;57;82;33;19;0.631;0.297
IE;69.239;57;80;3;14;0.654;0.345
LT;29.792;78;77;NA;18;0.313;0.387
LV;25.71;96;91;1;19;0.606;0.392
NL;51.049;31;67;9;22;0.683;0.351
PL;27.764;93;82;9;21;0.597;0.323
PT;28.933;42;93;4;24;0.589;0.348
SE;49.836;89;100;1;24;0.737;0.304
