ASSESSID;STOCKID;STOCKLONG;TSYEAR;SSB;Fm;SSBLIM;FLIM;comments;SSB/SSBLIM;F/FLIM
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1964;;;63000;;;;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1965;;;63001;;;;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1966;1.70E+05;9.48E-01;63002;;;2.698327037;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1967;2.14E+05;1.21E+00;63003;;;3.396663651;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1968;2.27E+05;1.06E+00;63004;;;3.602945845;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1969;2.23E+05;1.03E+00;63005;;;3.539401635;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1970;2.11E+05;9.87E-01;63006;;;3.348887408;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1971;1.95E+05;8.62E-01;63007;;;3.094894218;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1972;2.02E+05;8.59E-01;63008;;;3.205942103;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1973;2.18E+05;8.54E-01;63009;;;3.4598232;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1974;2.59E+05;7.92E-01;63010;;;4.110458657;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1975;3.12E+05;7.32E-01;63011;;;4.951516402;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1976;3.30E+05;8.42E-01;63012;;;5.237097696;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1977;3.23E+05;8.23E-01;63013;;;5.125926396;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1978;3.68E+05;6.16E-01;63014;;;5.83997207;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1979;5.15E+05;5.97E-01;63015;;;8.172657304;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1980;6.32E+05;7.00E-01;63016;;;10.02919893;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1981;6.43E+05;7.88E-01;63017;;;10.20359586;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1982;6.35E+05;7.95E-01;63018;;;10.07648608;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1983;6.10E+05;7.44E-01;63019;;;9.679620432;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1984;5.94E+05;8.39E-01;63020;;;9.425579181;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1985;5.28E+05;8.29E-01;63021;;;8.378159661;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1986;3.77E+05;9.98E-01;63022;;;5.982038018;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1987;3.23E+05;9.38E-01;63023;;;5.125113054;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1988;2.90E+05;8.88E-01;63024;;;4.601421681;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1989;2.27E+05;1.04E+00;63025;;;3.601745339;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1990;2.07E+05;1.20E+00;63026;;;3.284358836;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1991;1.36E+05;1.35E+00;63027;;;2.157805385;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1992;8.69E+04;1.01E+00;63028;;;1.378752301;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1993;9.45E+04;5.53E-01;63029;;;1.499309842;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1994;1.62E+05;6.10E-01;63030;;;2.570204664;
