ASSESSID;STOCKID;STOCKLONG;TSYEAR;SSB;Fm;SSBLIM;FLIM;SSB/SSBLIM;F/FLIM
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1978;8.05E+04;5.00E-01;32000;0.87;2.52;0.57
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1979;1.01E+05;5.40E-01;32000;0.87;3.16;0.62
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1980;1.04E+05;6.40E-01;32000;0.87;3.25;0.74
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1981;8.93E+04;6.40E-01;32000;0.87;2.79;0.74
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1982;7.27E+04;6.70E-01;32000;0.87;2.27;0.77
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1983;7.04E+04;6.20E-01;32000;0.87;2.2;0.71
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1984;8.30E+04;6.60E-01;32000;0.87;2.59;0.76
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1985;7.89E+04;8.20E-01;32000;0.87;2.47;0.94
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1986;5.90E+04;9.10E-01;32000;0.87;1.84;1.05
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1987;4.35E+04;9.80E-01;32000;0.87;1.36;1.13
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1988;4.60E+04;1.00E+00;32000;0.87;1.44;1.15
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1989;4.51E+04;1.07E+00;32000;0.87;1.41;1.23
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1990;4.24E+04;1.02E+00;32000;0.87;1.33;1.17
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1991;4.14E+04;9.60E-01;32000;0.87;1.29;1.1
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1992;3.98E+04;1.00E+00;32000;0.87;1.24;1.15
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1993;3.87E+04;1.05E+00;32000;0.87;1.21;1.21
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1994;3.05E+04;1.06E+00;32000;0.87;0.95;1.22
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1995;2.96E+04;1.12E+00;32000;0.87;0.93;1.29
