country_code;Countries;HAKENRTN;HAKESOTH;CODNEARNCW_CODNEARCODNEAR;CODFAPL;CODICE;CODBA2532;CODKAT;CODIS;CODVIa;CODIIIaW
BE;Belgium;0.000773977;0;0;0;0;0;0;0.081632653;0;0
DK;Denmark;0.089958241;0;1.03E-05;0;0;0.266060039;0.654480722;0;0;0
DE;Germany;0.001194136;0;0.021943604;0.000288629;0.000220512;0.089912495;0.013633206;0;0.010032103;0
EE;Estonia;0;0;0.000153911;0;0;0.015107532;0;0;0;0
IE;Irland;0;0;0.001266468;0;0;0;0;0.893729513;0.26364366;0
ES;Spain;0.433932573;0.662634695;0.033297789;0;0;0;0;0;0;0
FR;France;0.437697813;0.0594133;0.010791493;0;0;0;0.000217089;0.02199429;0.500802568;0.081081081
LV;Latvia;0;0;0;0;0;0.053584637;0;0;0;0
LT;Lithuania;0;0;0;0;0;0.008286464;0;0;0;0
NL;Netherlands;0.000353818;0;0;0;0;0;0.004602292;0;0;0
PL;Poland;0;0;0.007851513;0;0;0.227945794;0;0;0;0
PT;Portugal;0;0.277952005;0.01497725;0;0;0;0.075112886;0;0;0
FI;Finland;0;0;0;0;0;0.015159868;0;0;0;0
SE;Sweden;0.012560541;0;0;0;0;0.323943171;0.123393539;0;0;0
