SPECIES;COUNTRY;ABUNDANCE;TEMPERATURE;OVEREXPLOITATION;RECOVERY
Atlantic cod;BE;0,45;0,214285714;0,217811159;0,504015116
Atlantic cod;DE;0,591666667;0,214285714;0,493723176;0,818926153
Atlantic cod;DK;0,511111111;0,214285714;0,654113019;0,740198394
Atlantic cod;EE;0,75;0,214285714;0,498712446;0,527633444
Atlantic cod;ES;0,5;0,214285714;NA;NA
Atlantic cod;FI;1;0,214285714;0,498712446;0,527633444
Atlantic cod;FR;0,35;0,214285714;0,323226037;0,653597859
Atlantic cod;IE;0,45;0,214285714;0,108905579;0,504015116
Atlantic cod;LT;1;0,214285714;0,498712446;0,527633444
Atlantic cod;LV;1;0,214285714;0,498712446;0,527633444
Atlantic cod;NL;0,033333333;0,214285714;0,809513591;0,952763344
Atlantic cod;PL;0,75;0,214285714;0,498712446;0,527633444
Atlantic cod;PT;0,266666667;0,214285714;0,809513591;0,952763344
Atlantic cod;SE;0,516666667;0,214285714;0,654113019;0,740198394
European hake;BE;0,466666667;0,642857143;0,862660944;0,66934341
European hake;DE;0,466666667;0,642857143;0,862660944;0,66934341
European hake;DK;0,466666667;0,642857143;0,862660944;0,66934341
European hake;ES;0,233333333;0,642857143;0,681330472;0,598488427
European hake;FR;0,233333333;0,642857143;0,681330472;0,598488427
European hake;NL;0,466666667;0,642857143;0,862660944;0,66934341
European hake;PT;0,233333333;0,642857143;0,681330472;0,598488427
European hake;SE;0,466666667;0,642857143;0,862660944;0,66934341
