SPECIES;STOCK;AreaChange;Trange;T50;OverMSY;Status;Recovery;B_SSBrecent;B_SSBhistoric;B_Ftrend;B_Rtrend;SSB.average;F.average;R.average
Atlantic cod;CODNEAR;0.121676767;6;6;5.116702123;3;11;50925;15436;0.0001;-10130000.00;813051.3;0.6195;578611100.00
Atlantic cod;CODNEARNCW;0.121676767;6;6;;;18;-1887.4;-1887.4;-0.0082;-0.04;27552.38;0.3230294;1.00
Atlantic cod;CODFAPL;0.121676767;6;6;0.272741035;2;12;-1547.7;-889.4;0.0020;-197174.00;42874.36;0.5791892;15425530.00
Atlantic cod;CODICE;0.121676767;6;6;;3;4;8496;-3686;-0.0009;-1151990.00;256794.9;0.5697368;153450000.00
Atlantic cod;CODBA2532;0.121676767;6;6;0.748934514;;3;-15166;-6058;-0.0040;-7356000.00;225250;0.8531515;182531200.00
Atlantic cod;CODKAT;0.121676767;6;6;;;21;-0.06327;-0.06327;-0.0402;-0.05;0.9998182;1.0000476;1.00
Atlantic cod;CODIS;0.121676767;6;6;1.301873479;2;24;-354.55;-333.9;0.0005;-1732438.00;6641.132;0.9056568;27300770.00
Atlantic cod;CODVIa;0.121676767;6;6;0.021922106;0;25;-960.57;-960.57;0.0038;-672345.00;225250;0.9056667;11068650.00
Atlantic cod;CODIIIaW;0.121676767;6;6;0.418870081;2;25;-1085.6;-2838.9;-0.0021;-18380000.00;98135.9;0.8313158;461510500.00
European hake;HAKENRTN;0.04936122;5;18;5.026933312;3;15;4892;5617;-0.0124;42160.00;98966.67;0.7365789;358487179.00
European hake;HAKESOTH;0.04936122;5;18;0.427152392;3;12;-567.4;-567.4;0.0064;733600.00;17838.65;0.7654444;79467568.00
