"SPECIE","COUNTRIES","DIMENSION","GDP.2016","OHI.2016","OHI.eco","Tech..develop..2013","Inclusion.of.Requirements.2010","Readiness","Vulnerability","Resilience_Index"
"Cod","BE","ecological",45.047,62,82,2,20,0.6,0.361,0.3462272815
"Cod","BE","institutional",45.047,62,82,2,20,0.6,0.361,0.348008838301041
"Cod","BE","socioeconomic",45.047,62,82,2,20,0.6,0.361,0.55233352838502
"Cod","DE","ecological",48.111,43,92,17,22,0.688,0.292,0.575298961
"Cod","DE","institutional",48.111,43,92,17,22,0.688,0.292,0.40905787273701
"Cod","DE","socioeconomic",48.111,43,92,17,22,0.688,0.292,0.595495248639083
"Cod","DK","ecological",47.985,48,71,7.5,22,0.762,0.342,0.58932987525
"Cod","DK","institutional",47.985,48,71,7.5,22,0.762,0.342,0.543663829739039
"Cod","DK","socioeconomic",47.985,48,71,7.5,22,0.762,0.342,0.730929475092159
"Cod","EE","ecological",29.313,98,75,NA,17,0.625,0.375,0.5802957305
"Cod","EE","institutional",29.313,98,75,NA,17,0.625,0.375,0.300293834109748
"Cod","EE","socioeconomic",29.313,98,75,NA,17,0.625,0.375,0.518570561643723
"Cod","ES","ecological",36.416,41,79,10,17,0.566,0.308,0.653049008666667
"Cod","ES","institutional",36.416,41,79,10,17,0.566,0.308,0.709912666659712
"Cod","ES","socioeconomic",36.416,41,79,10,17,0.566,0.308,0.599533820211879
"Cod","FI","ecological",42.165,96,84,3.5,22,0.751,0.308,0.560157901
"Cod","FI","institutional",42.165,96,84,3.5,22,0.751,0.308,0.452881255117599
"Cod","FI","socioeconomic",42.165,96,84,3.5,22,0.751,0.308,0.56981978758463
"Cod","FR","ecological",42.314,57,82,33,19,0.631,0.297,0.451529107
"Cod","FR","institutional",42.314,57,82,33,19,0.631,0.297,0.440402256149545
"Cod","FR","socioeconomic",42.314,57,82,33,19,0.631,0.297,0.792019014713705
"Cod","IE","ecological",69.239,57,80,3,14,0.654,0.345,0.3190008865
"Cod","IE","institutional",69.239,57,80,3,14,0.654,0.345,0.447025906181073
"Cod","IE","socioeconomic",69.239,57,80,3,14,0.654,0.345,0.656497220985891
"Cod","LT","ecological",29.792,78,77,NA,18,0.313,0.387,0.560157901
"Cod","LT","institutional",29.792,78,77,NA,18,0.313,0.387,0.241458054463706
"Cod","LT","socioeconomic",29.792,78,77,NA,18,0.313,0.387,0.464150277525724
"Cod","LV","ecological",25.71,96,91,1,19,0.606,0.392,0.560157901
"Cod","LV","institutional",25.71,96,91,1,19,0.606,0.392,0.207820430723231
"Cod","LV","socioeconomic",25.71,96,91,1,19,0.606,0.392,0.523113674156363
"Cod","NL","ecological",51.049,31,67,9,22,0.683,0.351,0.50513672025
"Cod","NL","institutional",51.049,31,67,9,22,0.683,0.351,0.515431122396207
"Cod","NL","socioeconomic",51.049,31,67,9,22,0.683,0.351,0.573280439691415
"Cod","PL","ecological",27.764,93,82,9,21,0.597,0.323,0.5802957305
"Cod","PL","institutional",27.764,93,82,9,21,0.597,0.323,0.386020561558848
"Cod","PL","socioeconomic",27.764,93,82,9,21,0.597,0.323,0.550370272380344
"Cod","PT","ecological",28.933,42,93,4,24,0.589,0.348,0.645760368
"Cod","PT","institutional",28.933,42,93,4,24,0.589,0.348,0.321996834571786
"Cod","PT","socioeconomic",28.933,42,93,4,24,0.589,0.348,0.495498379506143
"Cod","SE","ecological",49.836,89,100,1,24,0.737,0.304,0.53264731075
"Cod","SE","institutional",49.836,89,100,1,24,0.737,0.304,0.474493220969796
"Cod","SE","socioeconomic",49.836,89,100,1,24,0.737,0.304,0.737814978069054
"Hake","BE","ecological",45.047,62,82,2,20,0.6,0.361,0.65851514275
"Hake","BE","institutional",45.047,62,82,2,20,0.6,0.361,0.346256172788907
"Hake","BE","socioeconomic",45.047,62,82,2,20,0.6,0.361,0.30118781247166
"Hake","DE","ecological",48.111,43,92,17,22,0.688,0.292,0.65851514275
"Hake","DE","institutional",48.111,43,92,17,22,0.688,0.292,0.334439181811227
"Hake","DE","socioeconomic",48.111,43,92,17,22,0.688,0.292,0.382767201376155
"Hake","DK","ecological",47.985,48,71,7.5,22,0.762,0.342,0.65851514275
"Hake","DK","institutional",47.985,48,71,7.5,22,0.762,0.342,0.478971693782272
"Hake","DK","socioeconomic",47.985,48,71,7.5,22,0.762,0.342,0.478312853070333
"Hake","EE","institutional",29.313,98,75,NA,17,0.625,0.375,0.294289911477411
"Hake","EE","socioeconomic",29.313,98,75,NA,17,0.625,0.375,0.11343510009401
"Hake","ES","ecological",36.416,41,79,10,17,0.566,0.308,0.53806889475
"Hake","ES","institutional",36.416,41,79,10,17,0.566,0.308,0.819642046758612
"Hake","ES","socioeconomic",36.416,41,79,10,17,0.566,0.308,0.404797340932337
"Hake","FI","institutional",42.165,96,84,3.5,22,0.751,0.308,0.446593915343915
"Hake","FI","socioeconomic",42.165,96,84,3.5,22,0.751,0.308,0.0112588378924651
"Hake","FR","ecological",42.314,57,82,33,19,0.631,0.297,0.53806889475
"Hake","FR","institutional",42.314,57,82,33,19,0.631,0.297,0.66776365995116
"Hake","FR","socioeconomic",42.314,57,82,33,19,0.631,0.297,0.513859159920546
"Hake","IE","institutional",69.239,57,80,3,14,0.654,0.345,0.461057662810948
"Hake","IE","socioeconomic",69.239,57,80,3,14,0.654,0.345,0.0326143938341455
"Hake","LT","institutional",29.792,78,77,NA,18,0.313,0.387,0.226362179487179
"Hake","LT","socioeconomic",29.792,78,77,NA,18,0.313,0.387,0.0547503783168255
"Hake","LV","institutional",25.71,96,91,1,19,0.606,0.392,0.184905372405372
"Hake","LV","socioeconomic",25.71,96,91,1,19,0.606,0.392,0.131972937693942
"Hake","NL","ecological",51.049,31,67,9,22,0.683,0.351,0.65851514275
"Hake","NL","institutional",51.049,31,67,9,22,0.683,0.351,0.503105084880819
"Hake","NL","socioeconomic",51.049,31,67,9,22,0.683,0.351,0.0991029242631308
"Hake","PL","institutional",27.764,93,82,9,21,0.597,0.323,0.300833714896215
"Hake","PL","socioeconomic",27.764,93,82,9,21,0.597,0.323,0.215875864428291
"Hake","PT","ecological",28.933,42,93,4,24,0.589,0.348,0.53806889475
"Hake","PT","institutional",28.933,42,93,4,24,0.589,0.348,0.329659529920963
"Hake","PT","socioeconomic",28.933,42,93,4,24,0.589,0.348,0.276359075480835
"Hake","SE","ecological",49.836,89,100,1,24,0.737,0.304,0.65851514275
"Hake","SE","institutional",49.836,89,100,1,24,0.737,0.304,0.413009088852201
"Hake","SE","socioeconomic",49.836,89,100,1,24,0.737,0.304,0.37781978597503
