SPECIES	COUNTRIES	STOCK	DEVELOPMENT	TAC	PROPERTY.RIGHTS	CO.MANAGEMENT
Atlantic cod	BE	CODBA2532	0.6875	0.958	0.686507937	0
Atlantic cod	BE	CODCOASTNOR_CODNEAR	0.6875	0.958	0.686507937	0
Atlantic cod	BE	CODFAPL	0.6875	0.958	0.686507937	0
Atlantic cod	BE	CODICE	0.6875	0.958	0.686507937	0
Atlantic cod	BE	CODIS	0.6875	0.958	0.686507937	0
Atlantic cod	BE	CODKAT_CODNS	0.6875	0.958	0.686507937	0
Atlantic cod	BE	CODVIa	0.6875	0.958	0.686507937	0
European hake	BE	HAKENRTN	0.6875	0.976	0.686507937	0
European hake	BE	HAKESOTH	0.6875	0.976	0.686507937	0
Atlantic cod	DE	CODBA2532	1	0.739	0	0.333333333
Atlantic cod	DE	CODCOASTNOR_CODNEAR	1	0.739	0	0.333333333
Atlantic cod	DE	CODFAPL	1	0.739	0	0.333333333
Atlantic cod	DE	CODICE	1	0.739	0	0.333333333
Atlantic cod	DE	CODIS	1	0.739	0	0.333333333
Atlantic cod	DE	CODKAT_CODNS	1	0.739	0	0.333333333
Atlantic cod	DE	CODVIa	1	0.739	0	0.333333333
European hake	DE	HAKENRTN	1	0.976	0	0.333333333
European hake	DE	HAKESOTH	1	0.976	0	0.333333333
Atlantic cod	DK	CODBA2532	0.989583333	0	0.80952381	0.025641026
Atlantic cod	DK	CODCOASTNOR_CODNEAR	0.989583333	0	0.80952381	0.025641026
Atlantic cod	DK	CODFAPL	0.989583333	0	0.80952381	0.025641026
Atlantic cod	DK	CODICE	0.989583333	0	0.80952381	0.025641026
Atlantic cod	DK	CODIS	0.989583333	0	0.80952381	0.025641026
Atlantic cod	DK	CODKAT_CODNS	0.989583333	0	0.80952381	0.025641026
Atlantic cod	DK	CODVIa	0.989583333	0	0.80952381	0.025641026
European hake	DK	HAKENRTN	0.989583333	0.976	0.80952381	0.025641026
European hake	DK	HAKESOTH	0.989583333	0.976	0.80952381	0.025641026
Atlantic cod	EE	CODBA2532	0.364583333	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODBA2532	NA	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODCOASTNOR_CODNEAR	0.364583333	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODCOASTNOR_CODNEAR	NA	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODFAPL	0.364583333	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODFAPL	NA	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODICE	0.364583333	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODICE	NA	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODIS	0.364583333	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODIS	NA	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODKAT_CODNS	0.364583333	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODKAT_CODNS	NA	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODVIa	0.364583333	0.936	0.658730159	0.153846154
Atlantic cod	EE	CODVIa	NA	0.936	0.658730159	0.153846154
European hake	EE	HAKENRTN	0.364583333	0.977	0.658730159	0.153846154
European hake	EE	HAKENRTN	NA	0.977	0.658730159	0.153846154
European hake	EE	HAKESOTH	0.364583333	0.977	0.658730159	0.153846154
European hake	EE	HAKESOTH	NA	0.977	0.658730159	0.153846154
Atlantic cod	EE	CODBA2532	0.364583333	0.936	NA	0.153846154
Atlantic cod	EE	CODBA2532	NA	0.936	NA	0.153846154
Atlantic cod	EE	CODCOASTNOR_CODNEAR	0.364583333	0.936	NA	0.153846154
Atlantic cod	EE	CODCOASTNOR_CODNEAR	NA	0.936	NA	0.153846154
Atlantic cod	EE	CODFAPL	0.364583333	0.936	NA	0.153846154
Atlantic cod	EE	CODFAPL	NA	0.936	NA	0.153846154
Atlantic cod	EE	CODICE	0.364583333	0.936	NA	0.153846154
Atlantic cod	EE	CODICE	NA	0.936	NA	0.153846154
Atlantic cod	EE	CODIS	0.364583333	0.936	NA	0.153846154
Atlantic cod	EE	CODIS	NA	0.936	NA	0.153846154
Atlantic cod	EE	CODKAT_CODNS	0.364583333	0.936	NA	0.153846154
Atlantic cod	EE	CODKAT_CODNS	NA	0.936	NA	0.153846154
Atlantic cod	EE	CODVIa	0.364583333	0.936	NA	0.153846154
Atlantic cod	EE	CODVIa	NA	0.936	NA	0.153846154
European hake	EE	HAKENRTN	0.364583333	0.977	NA	0.153846154
European hake	EE	HAKENRTN	NA	0.977	NA	0.153846154
European hake	EE	HAKESOTH	0.364583333	0.977	NA	0.153846154
European hake	EE	HAKESOTH	NA	0.977	NA	0.153846154
Atlantic cod	ES	CODBA2532	0.5625	1	1	1
Atlantic cod	ES	CODCOASTNOR_CODNEAR	0.5625	1	1	1
Atlantic cod	ES	CODFAPL	0.5625	1	1	1
Atlantic cod	ES	CODICE	0.5625	1	1	1
Atlantic cod	ES	CODIS	0.5625	1	1	1
Atlantic cod	ES	CODKAT_CODNS	0.5625	1	1	1
Atlantic cod	ES	CODVIa	0.5625	1	1	1
European hake	ES	HAKENRTN	0.5625	0.844	1	1
European hake	ES	HAKESOTH	0.5625	0.844	1	1
Atlantic cod	FI	CODBA2532	0.677083333	0.901	0.662698413	NA
Atlantic cod	FI	CODBA2532	NA	0.901	0.662698413	NA
Atlantic cod	FI	CODCOASTNOR_CODNEAR	0.677083333	0.901	0.662698413	NA
Atlantic cod	FI	CODCOASTNOR_CODNEAR	NA	0.901	0.662698413	NA
Atlantic cod	FI	CODFAPL	0.677083333	0.901	0.662698413	NA
Atlantic cod	FI	CODFAPL	NA	0.901	0.662698413	NA
Atlantic cod	FI	CODICE	0.677083333	0.901	0.662698413	NA
Atlantic cod	FI	CODICE	NA	0.901	0.662698413	NA
Atlantic cod	FI	CODIS	0.677083333	0.901	0.662698413	NA
Atlantic cod	FI	CODIS	NA	0.901	0.662698413	NA
Atlantic cod	FI	CODKAT_CODNS	0.677083333	0.901	0.662698413	NA
Atlantic cod	FI	CODKAT_CODNS	NA	0.901	0.662698413	NA
Atlantic cod	FI	CODVIa	0.677083333	0.901	0.662698413	NA
Atlantic cod	FI	CODVIa	NA	0.901	0.662698413	NA
European hake	FI	HAKENRTN	0.677083333	0.977	0.662698413	NA
European hake	FI	HAKENRTN	NA	0.977	0.662698413	NA
European hake	FI	HAKESOTH	0.677083333	0.977	0.662698413	NA
European hake	FI	HAKESOTH	NA	0.977	0.662698413	NA
Atlantic cod	FI	CODBA2532	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODBA2532	NA	0.901	NA	NA
Atlantic cod	FI	CODCOASTNOR_CODNEAR	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODCOASTNOR_CODNEAR	NA	0.901	NA	NA
Atlantic cod	FI	CODFAPL	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODFAPL	NA	0.901	NA	NA
Atlantic cod	FI	CODICE	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODICE	NA	0.901	NA	NA
Atlantic cod	FI	CODIS	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODIS	NA	0.901	NA	NA
Atlantic cod	FI	CODKAT_CODNS	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODKAT_CODNS	NA	0.901	NA	NA
Atlantic cod	FI	CODVIa	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODVIa	NA	0.901	NA	NA
European hake	FI	HAKENRTN	0.677083333	0.977	NA	NA
European hake	FI	HAKENRTN	NA	0.977	NA	NA
European hake	FI	HAKESOTH	0.677083333	0.977	NA	NA
European hake	FI	HAKESOTH	NA	0.977	NA	NA
