SPECIES,COUNTRIES,STOCK,STRENGTH,PROPERTY.RIGHTS,ORGANIZATION
Atlantic cod,BE,CODBA2532,0.6,0.6865079365079365,0
Atlantic cod,BE,CODCOASTNOR_CODNEAR,0.6,0.6865079365079365,0
Atlantic cod,BE,CODFAPL,0.6,0.6865079365079365,0
Atlantic cod,BE,CODICE,0.6,0.6865079365079365,0
Atlantic cod,BE,CODIS,0.6,0.6865079365079365,0
Atlantic cod,BE,CODKAT_CODNS,0.6,0.6865079365079365,0
Atlantic cod,BE,CODVIa,0.6,0.6865079365079365,0
European hake,BE,HAKENRTN,0.6,0.6865079365079365,0
European hake,BE,HAKESOTH,0.6,0.6865079365079365,0
Atlantic cod,DE,CODBA2532,0.8,0,0.3548387096774194
Atlantic cod,DE,CODCOASTNOR_CODNEAR,0.8,0,0.3548387096774194
Atlantic cod,DE,CODFAPL,0.8,0,0.3548387096774194
Atlantic cod,DE,CODICE,0.8,0,0.3548387096774194
Atlantic cod,DE,CODIS,0.8,0,0.3548387096774194
Atlantic cod,DE,CODKAT_CODNS,0.8,0,0.3548387096774194
Atlantic cod,DE,CODVIa,0.8,0,0.3548387096774194
European hake,DE,HAKENRTN,0.8,0,0.3548387096774194
European hake,DE,HAKESOTH,0.8,0,0.3548387096774194
Atlantic cod,DK,CODBA2532,0.8,0.8095238095238095,0.03225806451612903
Atlantic cod,DK,CODCOASTNOR_CODNEAR,0.8,0.8095238095238095,0.03225806451612903
Atlantic cod,DK,CODFAPL,0.8,0.8095238095238095,0.03225806451612903
Atlantic cod,DK,CODICE,0.8,0.8095238095238095,0.03225806451612903
Atlantic cod,DK,CODIS,0.8,0.8095238095238095,0.03225806451612903
Atlantic cod,DK,CODKAT_CODNS,0.8,0.8095238095238095,0.03225806451612903
Atlantic cod,DK,CODVIa,0.8,0.8095238095238095,0.03225806451612903
European hake,DK,HAKENRTN,0.8,0.8095238095238095,0.03225806451612903
European hake,DK,HAKESOTH,0.8,0.8095238095238095,0.03225806451612903
Atlantic cod,EE,CODBA2532,0.3,0.6587301587301587,0.16129032258064516
Atlantic cod,EE,CODCOASTNOR_CODNEAR,0.3,0.6587301587301587,0.16129032258064516
Atlantic cod,EE,CODFAPL,0.3,0.6587301587301587,0.16129032258064516
Atlantic cod,EE,CODICE,0.3,0.6587301587301587,0.16129032258064516
Atlantic cod,EE,CODIS,0.3,0.6587301587301587,0.16129032258064516
Atlantic cod,EE,CODKAT_CODNS,0.3,0.6587301587301587,0.16129032258064516
Atlantic cod,EE,CODVIa,0.3,0.6587301587301587,0.16129032258064516
Atlantic cod,ES,CODBA2532,0.3,1,1
Atlantic cod,ES,CODCOASTNOR_CODNEAR,0.3,1,1
Atlantic cod,ES,CODFAPL,0.3,1,1
Atlantic cod,ES,CODICE,0.3,1,1
Atlantic cod,ES,CODIS,0.3,1,1
Atlantic cod,ES,CODKAT_CODNS,0.3,1,1
Atlantic cod,ES,CODVIa,0.3,1,1
European hake,ES,HAKENRTN,0.3,1,1
European hake,ES,HAKESOTH,0.3,1,1
Atlantic cod,FR,CODBA2532,0.5,0.4603174603174603,0.5161290322580645
Atlantic cod,FR,CODCOASTNOR_CODNEAR,0.5,0.4603174603174603,0.5161290322580645
Atlantic cod,FR,CODFAPL,0.5,0.4603174603174603,0.5161290322580645
Atlantic cod,FR,CODICE,0.5,0.4603174603174603,0.5161290322580645
Atlantic cod,FR,CODIS,0.5,0.4603174603174603,0.5161290322580645
Atlantic cod,FR,CODKAT_CODNS,0.5,0.4603174603174603,0.5161290322580645
Atlantic cod,FR,CODVIa,0.5,0.4603174603174603,0.5161290322580645
European hake,FR,HAKENRTN,0.5,0.4603174603174603,0.5161290322580645
European hake,FR,HAKESOTH,0.5,0.4603174603174603,0.5161290322580645
Atlantic cod,IE,CODBA2532,0,0.7142857142857143,0.0967741935483871
Atlantic cod,IE,CODCOASTNOR_CODNEAR,0,0.7142857142857143,0.0967741935483871
Atlantic cod,IE,CODFAPL,0,0.7142857142857143,0.0967741935483871
Atlantic cod,IE,CODICE,0,0.7142857142857143,0.0967741935483871
Atlantic cod,IE,CODIS,0,0.7142857142857143,0.0967741935483871
Atlantic cod,IE,CODKAT_CODNS,0,0.7142857142857143,0.0967741935483871
Atlantic cod,IE,CODVIa,0,0.7142857142857143,0.0967741935483871
Atlantic cod,LT,CODBA2532,0.4,0.6666666666666666,0.03225806451612903
Atlantic cod,LT,CODCOASTNOR_CODNEAR,0.4,0.6666666666666666,0.03225806451612903
Atlantic cod,LT,CODFAPL,0.4,0.6666666666666666,0.03225806451612903
Atlantic cod,LT,CODICE,0.4,0.6666666666666666,0.03225806451612903
Atlantic cod,LT,CODIS,0.4,0.6666666666666666,0.03225806451612903
Atlantic cod,LT,CODKAT_CODNS,0.4,0.6666666666666666,0.03225806451612903
Atlantic cod,LT,CODVIa,0.4,0.6666666666666666,0.03225806451612903
Atlantic cod,LV,CODBA2532,0.5,0.6626984126984127,0.06451612903225806
Atlantic cod,LV,CODCOASTNOR_CODNEAR,0.5,0.6626984126984127,0.06451612903225806
Atlantic cod,LV,CODFAPL,0.5,0.6626984126984127,0.06451612903225806
Atlantic cod,LV,CODICE,0.5,0.6626984126984127,0.06451612903225806
Atlantic cod,LV,CODIS,0.5,0.6626984126984127,0.06451612903225806
