SPECIES;COUNTRIES;STOCK;DEVELOPMENT;QUOTAS;PROPERTY.RIGHTS;CO.MANAGEMENT
Atlantic cod;BE;CODCOASTNOR_CODNEAR;0.6875;0;0.6865;0
Atlantic cod;BE;CODFAPL;0.6875;0;0.6865;0
Atlantic cod;BE;CODICE;0.6875;NA;0.6865;0
Atlantic cod;BE;CODBA2532;0.6875;NA;0.6865;0
Atlantic cod;BE;CODKAT_CODNS;0.6875;0.0183;0.6865;0
Atlantic cod;BE;CODIS;0.6875;0;0.6865;0
Atlantic cod;BE;CODVIa;0.6875;0;0.6865;0
Atlantic cod;DK;CODCOASTNOR_CODNEAR;0.9896;0;0.8095;0.0256
Atlantic cod;DK;CODFAPL;0.9896;0;0.8095;0.0256
Atlantic cod;DK;CODICE;0.9896;NA;0.8095;0.0256
Atlantic cod;DK;CODBA2532;0.9896;0.2509;0.8095;0.0256
Atlantic cod;DK;CODKAT_CODNS;0.9896;0.1053;0.8095;0.0256
Atlantic cod;DK;CODIS;0.9896;0;0.8095;0.0256
Atlantic cod;DK;CODVIa;0.9896;0;0.8095;0.0256
Atlantic cod;DE;CODCOASTNOR_CODNEAR;1;0.1414;0;0.3333
Atlantic cod;DE;CODFAPL;1;0.0004;0;0.3333
Atlantic cod;DE;CODICE;1;NA;0;0.3333
Atlantic cod;DE;CODBA2532;1;0.0998;0;0.3333
Atlantic cod;DE;CODKAT_CODNS;1;0.0667;0;0.3333
Atlantic cod;DE;CODIS;1;0;0;0.3333
Atlantic cod;DE;CODVIa;1;0;0;0.3333
Atlantic cod;EE;CODCOASTNOR_CODNEAR;0.3646;0;0.6587;0.1538
Atlantic cod;EE;CODFAPL;0.3646;0;0.6587;0.1538
Atlantic cod;EE;CODICE;0.3646;NA;0.6587;0.1538
Atlantic cod;EE;CODBA2532;0.3646;0.0244;0.6587;0.1538
Atlantic cod;EE;CODKAT_CODNS;0.3646;0;0.6587;0.1538
Atlantic cod;EE;CODIS;0.3646;0;0.6587;0.1538
Atlantic cod;EE;CODVIa;0.3646;0;0.6587;0.1538
Atlantic cod;IE;CODCOASTNOR_CODNEAR;0.9688;0;0.7143;0.1026
Atlantic cod;IE;CODFAPL;0.9688;0;0.7143;0.1026
Atlantic cod;IE;CODICE;0.9688;NA;0.7143;0.1026
Atlantic cod;IE;CODBA2532;0.9688;0;0.7143;0.1026
Atlantic cod;IE;CODKAT_CODNS;0.9688;0;0.7143;0.1026
Atlantic cod;IE;CODIS;0.9688;0.0025;0.7143;0.1026
Atlantic cod;IE;CODVIa;0.9688;0;0.7143;0.1026
Atlantic cod;ES;CODCOASTNOR_CODNEAR;0.5625;0.2821;1;1
Atlantic cod;ES;CODFAPL;0.5625;0;1;1
Atlantic cod;ES;CODICE;0.5625;NA;1;1
Atlantic cod;ES;CODBA2532;0.5625;0;1;1
Atlantic cod;ES;CODKAT_CODNS;0.5625;0;1;1
Atlantic cod;ES;CODIS;0.5625;0;1;1
Atlantic cod;ES;CODVIa;0.5625;0;1;1
Atlantic cod;FR;CODCOASTNOR_CODNEAR;0.6979;0.067;0.4603;0.5128
Atlantic cod;FR;CODFAPL;0.6979;0.0024;0.4603;0.5128
Atlantic cod;FR;CODICE;0.6979;NA;0.4603;0.5128
Atlantic cod;FR;CODBA2532;0.6979;0;0.4603;0.5128
Atlantic cod;FR;CODKAT_CODNS;0.6979;0.0226;0.4603;0.5128
Atlantic cod;FR;CODIS;0.6979;0.0001;0.4603;0.5128
Atlantic cod;FR;CODVIa;0.6979;0;0.4603;0.5128
Atlantic cod;LV;CODCOASTNOR_CODNEAR;0;0;0.6627;0.0769
Atlantic cod;LV;CODFAPL;0;0;0.6627;0.0769
