SPECIES,COUNTRIES,STRENGTH,QUOTAS,PROPERTY.RIGHTS,ORGANIZATION
Atlantic cod,BE,1,0.957671260351625,0.6865079365079365,0
European hake,BE,1,0.9762309554870127,0.6865079365079365,0
Atlantic cod,DE,0.5929203539823009,0.7388390321144339,0,0.3548387096774194
European hake,DE,0.5929203539823009,0.9760669381230531,0,0.3548387096774194
Atlantic cod,DK,0.5486725663716815,0,0.8095238095238095,0.03225806451612903
European hake,DK,0.5486725663716815,0.9667551159616108,0.8095238095238095,0.03225806451612903
Atlantic cod,EE,0.7876106194690266,0.9363969584812111,0.6587301587301587,0.16129032258064516
Atlantic cod,ES,0,1,1,1
European hake,ES,0,0.8440058614033735,1,1
Atlantic cod,FR,0.24778761061946922,0.8611260177607469,0.4603174603174603,0.5161290322580645
European hake,FR,0.24778761061946922,0.9301276988796756,0.4603174603174603,0.5161290322580645
Atlantic cod,IE,0.6283185840707963,0.9170449514877972,0.7142857142857143,0.0967741935483871
Atlantic cod,LT,0.47787610619469023,0.874259971426079,0.6666666666666666,0.03225806451612903
Atlantic cod,LV,0.8761061946902654,0.8241048038113219,0.6626984126984127,0.06451612903225806
Atlantic cod,NL,0.47787610619469023,0.9118584502557125,0.7420634920634921,0.2903225806451613
European hake,NL,0.47787610619469023,0.9763752995871162,0.7420634920634921,0.2903225806451613
Atlantic cod,PL,0.7787610619469026,0.6640821975643681,0.6865079365079365,0.41935483870967744
Atlantic cod,PT,0.0973451327433627,0.9844704676483818,0.7380952380952381,0.45161290322580644
European hake,PT,0.0973451327433627,0.9791810237323634,0.7380952380952381,0.45161290322580644
Atlantic cod,SE,0.7345132743362832,0.4791609652476945,0.6547619047619048,0.16129032258064516
European hake,SE,0.7345132743362832,0.9760526979848745,0.6547619047619048,0.16129032258064516
Atlantic cod,FI,0.7876106194690266,0.900902683202824,0.6626984126984127,NA
