SPECIES;COUNTRIES;STOCK;DEVELOPMENT;QUOTAS;PROPERTY.RIGHTS;CO.MANAGEMENT
European hake;BE;HAKENRTN;0.6875;0.0112;0.6865;0
European hake;BE;HAKESOTH;0.6875;0;0.6865;0
European hake;DK;HAKENRTN;0.9896;0.0928;0.8095;0.0256
European hake;DK;HAKESOTH;0.9896;0;0.8095;0.0256
European hake;DE;HAKENRTN;1;0.0045;0;0.3333
European hake;DE;HAKESOTH;1;0;0;0.3333
European hake;ES;HAKENRTN;0.5625;0.541;1;1
European hake;ES;HAKESOTH;0.5625;0.1879;1;1
European hake;FR;HAKENRTN;0.6979;1;0.4603;0.5128
European hake;FR;HAKESOTH;0.6979;0.018;0.4603;0.5128
European hake;PT;HAKENRTN;0.1354;0;0.7381;0.359
European hake;PT;HAKESOTH;0.1354;0.0877;0.7381;0.359
European hake;SE;HAKENRTN;0.8646;0.0046;0.6548;0.1282
European hake;SE;HAKESOTH;0.8646;0;0.6548;0.1282
