SPECIES;COUNTRIES;STOCK;HDI;Swaps;Norganizations;Above_advice;TAC;Compliance
Atlantic cod;BE;CODBA2532;0.896;8;1;71.78623534;NA;20
Atlantic cod;BE;CODCOASTNOR_CODNEAR;0.896;8;1;71.78623534;0;20
Atlantic cod;BE;CODFAPL;0.896;8;1;71.78623534;0;20
Atlantic cod;BE;CODICE;0.896;8;1;71.78623534;NA;20
Atlantic cod;BE;CODIS;0.896;8;1;71.78623534;2;20
Atlantic cod;BE;CODKAT_CODNS;0.896;8;1;71.78623534;862;20
Atlantic cod;BE;CODVIa;0.896;8;1;71.78623534;0;20
European hake;BE;HAKENRTN;0.896;8;1;10.80835351;528;20
European hake;BE;HAKESOTH;0.896;8;1;10.80835351;0;20
Atlantic cod;DE;CODBA2532;0.926;-165;14;881.7869215;4700;22
Atlantic cod;DE;CODCOASTNOR_CODNEAR;0.926;-165;14;881.7869215;6656;22
Atlantic cod;DE;CODFAPL;0.926;-165;14;881.7869215;19;22
Atlantic cod;DE;CODICE;0.926;-165;14;881.7869215;NA;22
Atlantic cod;DE;CODIS;0.926;-165;14;881.7869215;0;22
Atlantic cod;DE;CODKAT_CODNS;0.926;-165;14;881.7869215;3142;22
Atlantic cod;DE;CODVIa;0.926;-165;14;881.7869215;0;22
European hake;DE;HAKENRTN;0.926;-165;14;12.93322161;212;22
European hake;DE;HAKESOTH;0.926;-165;14;12.93322161;0;22
Atlantic cod;DK;CODBA2532;0.925;39;2;3616.576619;11814;22
Atlantic cod;DK;CODCOASTNOR_CODNEAR;0.925;39;2;3616.576619;0;22
Atlantic cod;DK;CODFAPL;0.925;39;2;3616.576619;0;22
Atlantic cod;DK;CODICE;0.925;39;2;3616.576619;NA;22
Atlantic cod;DK;CODIS;0.925;39;2;3616.576619;0;22
Atlantic cod;DK;CODKAT_CODNS;0.925;39;2;3616.576619;4956;22
Atlantic cod;DK;CODVIa;0.925;39;2;3616.576619;0;22
European hake;DK;HAKENRTN;0.925;39;2;133.5691922;4368;22
European hake;DK;HAKESOTH;0.925;39;2;133.5691922;0;22
Atlantic cod;EE;CODBA2532;0.865;1;7;150.532402;1151;17
Atlantic cod;EE;CODCOASTNOR_CODNEAR;0.865;1;7;150.532402;0;17
Atlantic cod;EE;CODFAPL;0.865;1;7;150.532402;0;17
Atlantic cod;EE;CODICE;0.865;1;7;150.532402;NA;17
Atlantic cod;EE;CODIS;0.865;1;7;150.532402;0;17
Atlantic cod;EE;CODKAT_CODNS;0.865;1;7;150.532402;0;17
Atlantic cod;EE;CODVIa;0.865;1;7;150.532402;0;17
Atlantic cod;ES;CODBA2532;0.884;87;40;-84.89227805;0;17
Atlantic cod;ES;CODCOASTNOR_CODNEAR;0.884;87;40;-84.89227805;13283;17
Atlantic cod;ES;CODFAPL;0.884;87;40;-84.89227805;0;17
Atlantic cod;ES;CODICE;0.884;87;40;-84.89227805;NA;17
Atlantic cod;ES;CODIS;0.884;87;40;-84.89227805;0;17
Atlantic cod;ES;CODKAT_CODNS;0.884;87;40;-84.89227805;0;17
Atlantic cod;ES;CODVIa;0.884;87;40;-84.89227805;0;17
European hake;ES;HAKENRTN;0.884;87;40;1723.803114;25471;17
European hake;ES;HAKESOTH;0.884;87;40;1723.803114;8848;17
Atlantic cod;FI;CODBA2532;0.895;2;NA;281.9133583;904;22
Atlantic cod;FI;CODCOASTNOR_CODNEAR;0.895;2;NA;281.9133583;0;22
Atlantic cod;FI;CODFAPL;0.895;2;NA;281.9133583;0;22
Atlantic cod;FI;CODICE;0.895;2;NA;281.9133583;NA;22
Atlantic cod;FI;CODIS;0.895;2;NA;281.9133583;0;22
Atlantic cod;FI;CODKAT_CODNS;0.895;2;NA;281.9133583;0;22
Atlantic cod;FI;CODVIa;0.895;2;NA;281.9133583;0;22
Atlantic cod;FR;CODBA2532;0.897;-49;21;429.1454477;0;19
Atlantic cod;FR;CODCOASTNOR_CODNEAR;0.897;-49;21;429.1454477;3154;19
Atlantic cod;FR;CODFAPL;0.897;-49;21;429.1454477;114;19
Atlantic cod;FR;CODICE;0.897;-49;21;429.1454477;NA;19
Atlantic cod;FR;CODIS;0.897;-49;21;429.1454477;7;19
Atlantic cod;FR;CODKAT_CODNS;0.897;-49;21;429.1454477;1065;19
Atlantic cod;FR;CODVIa;0.897;-49;21;429.1454477;0;19
European hake;FR;HAKENRTN;0.897;-49;21;608.0825503;47078;19
European hake;FR;HAKESOTH;0.897;-49;21;608.0825503;849;19
Atlantic cod;IE;CODBA2532;0.923;15;5;222.1632538;0;14
Atlantic cod;IE;CODCOASTNOR_CODNEAR;0.923;15;5;222.1632538;0;14
Atlantic cod;IE;CODFAPL;0.923;15;5;222.1632538;0;14
Atlantic cod;IE;CODICE;0.923;15;5;222.1632538;NA;14
Atlantic cod;IE;CODIS;0.923;15;5;222.1632538;120;14
Atlantic cod;IE;CODKAT_CODNS;0.923;15;5;222.1632538;0;14
Atlantic cod;IE;CODVIa;0.923;15;5;222.1632538;0;14
Atlantic cod;LT;CODBA2532;0.848;3;3;380.5305266;2894;18
Atlantic cod;LT;CODCOASTNOR_CODNEAR;0.848;3;3;380.5305266;0;18
Atlantic cod;LT;CODFAPL;0.848;3;3;380.5305266;0;18
Atlantic cod;LT;CODICE;0.848;3;3;380.5305266;NA;18
Atlantic cod;LT;CODIS;0.848;3;3;380.5305266;0;18
Atlantic cod;LT;CODKAT_CODNS;0.848;3;3;380.5305266;0;18
Atlantic cod;LT;CODVIa;0.848;3;3;380.5305266;0;18
Atlantic cod;LV;CODBA2532;0.83;2;4;566.17832;4393;19
Atlantic cod;LV;CODCOASTNOR_CODNEAR;0.83;2;4;566.17832;0;19
Atlantic cod;LV;CODFAPL;0.83;2;4;566.17832;0;19
Atlantic cod;LV;CODICE;0.83;2;4;566.17832;NA;19
Atlantic cod;LV;CODIS;0.83;2;4;566.17832;0;19
Atlantic cod;LV;CODKAT_CODNS;0.83;2;4;566.17832;0;19
Atlantic cod;LV;CODVIa;0.83;2;4;566.17832;0;19
Atlantic cod;NL;CODBA2532;0.924;22;12;241.3609267;0;22
Atlantic cod;NL;CODCOASTNOR_CODNEAR;0.924;22;12;241.3609267;0;22
Atlantic cod;NL;CODFAPL;0.924;22;12;241.3609267;0;22
Atlantic cod;NL;CODICE;0.924;22;12;241.3609267;NA;22
Atlantic cod;NL;CODIS;0.924;22;12;241.3609267;1;22
Atlantic cod;NL;CODKAT_CODNS;0.924;22;12;241.3609267;2800;22
Atlantic cod;NL;CODVIa;0.924;22;12;241.3609267;0;22
Atlantic cod;PL;CODBA2532;0.855;8;11;1158.497021;13603;21
Atlantic cod;PL;CODCOASTNOR_CODNEAR;0.855;8;11;1158.497021;2728;21
Atlantic cod;PL;CODFAPL;0.855;8;11;1158.497021;0;21
Atlantic cod;PL;CODICE;0.855;8;11;1158.497021;NA;21
Atlantic cod;PL;CODIS;0.855;8;11;1158.497021;0;21
Atlantic cod;PL;CODKAT_CODNS;0.855;8;11;1158.497021;0;21
Atlantic cod;PL;CODVIa;0.855;8;11;1158.497021;0;21
