SPECIES;COUNTRIES;STOCK;Swaps;Norganizations;Above_advice;TAC;Compliance
Atlantic cod;BE;CODBA2532;8;2;71.7862353;NA;20
Atlantic cod;BE;CODNEARNCW_CODNEAR;8;2;71.7862353;0;20
Atlantic cod;BE;CODFAPL;8;2;71.7862353;0;20
Atlantic cod;BE;CODICE;8;2;71.7862353;NA;20
Atlantic cod;BE;CODIS;8;2;71.7862353;2;20
Atlantic cod;BE;CODKAT_CODIIIaW;8;2;71.7862353;862;20
Atlantic cod;BE;CODVIa;8;2;71.7862353;0;20
European hake;BE;HAKENRTN;8;2;10.8083535;528;20
European hake;BE;HAKESOTH;8;2;10.8083535;0;20
Atlantic cod;DE;CODBA2532;-165;13;881.786922;4700;22
Atlantic cod;DE;CODNEARNCW_CODNEAR;-165;13;881.786922;6656;22
Atlantic cod;DE;CODFAPL;-165;13;881.786922;19;22
Atlantic cod;DE;CODICE;-165;13;881.786922;NA;22
Atlantic cod;DE;CODIS;-165;13;881.786922;0;22
Atlantic cod;DE;CODKAT_CODIIIaW;-165;13;881.786922;3142;22
Atlantic cod;DE;CODVIa;-165;13;881.786922;0;22
European hake;DE;HAKENRTN;-165;13;12.9332216;212;22
European hake;DE;HAKESOTH;-165;13;12.9332216;0;22
Atlantic cod;DK;CODBA2532;39;3;3616.57662;11814;22
Atlantic cod;DK;CODNEARNCW_CODNEAR;39;3;3616.57662;0;22
Atlantic cod;DK;CODFAPL;39;3;3616.57662;0;22
Atlantic cod;DK;CODICE;39;3;3616.57662;NA;22
Atlantic cod;DK;CODIS;39;3;3616.57662;0;22
Atlantic cod;DK;CODKAT_CODIIIaW;39;3;3616.57662;4956;22
Atlantic cod;DK;CODVIa;39;3;3616.57662;0;22
European hake;DK;HAKENRTN;39;3;133.569192;4368;22
European hake;DK;HAKESOTH;39;3;133.569192;0;22
Atlantic cod;EE;CODBA2532;1;7;150.532402;1151;17
Atlantic cod;EE;CODNEARNCW_CODNEAR;1;7;150.532402;0;17
Atlantic cod;EE;CODFAPL;1;7;150.532402;0;17
Atlantic cod;EE;CODICE;1;7;150.532402;NA;17
Atlantic cod;EE;CODIS;1;7;150.532402;0;17
Atlantic cod;EE;CODKAT_CODIIIaW;1;7;150.532402;0;17
Atlantic cod;EE;CODVIa;1;7;150.532402;0;17
Atlantic cod;ES;CODBA2532;87;33;-84.892278;0;17
Atlantic cod;ES;CODNEARNCW_CODNEAR;87;33;-84.892278;13283;17
Atlantic cod;ES;CODFAPL;87;33;-84.892278;0;17
Atlantic cod;ES;CODICE;87;33;-84.892278;NA;17
Atlantic cod;ES;CODIS;87;33;-84.892278;0;17
Atlantic cod;ES;CODKAT_CODIIIaW;87;33;-84.892278;0;17
Atlantic cod;ES;CODVIa;87;33;-84.892278;0;17
European hake;ES;HAKENRTN;87;33;1723.80311;25471;17
European hake;ES;HAKESOTH;87;33;1723.80311;8848;17
Atlantic cod;FI;CODBA2532;2;NA;281.913358;904;22
Atlantic cod;FI;CODNEARNCW_CODNEAR;2;NA;281.913358;0;22
Atlantic cod;FI;CODFAPL;2;NA;281.913358;0;22
Atlantic cod;FI;CODICE;2;NA;281.913358;NA;22
Atlantic cod;FI;CODIS;2;NA;281.913358;0;22
Atlantic cod;FI;CODKAT_CODIIIaW;2;NA;281.913358;0;22
Atlantic cod;FI;CODVIa;2;NA;281.913358;0;22
Atlantic cod;FR;CODBA2532;-49;18;429.145448;0;19
Atlantic cod;FR;CODNEARNCW_CODNEAR;-49;18;429.145448;3154;19
Atlantic cod;FR;CODFAPL;-49;18;429.145448;114;19
Atlantic cod;FR;CODICE;-49;18;429.145448;NA;19
Atlantic cod;FR;CODIS;-49;18;429.145448;7;19
Atlantic cod;FR;CODKAT_CODIIIaW;-49;18;429.145448;1065;19
Atlantic cod;FR;CODVIa;-49;18;429.145448;0;19
European hake;FR;HAKENRTN;-49;18;608.08255;47078;19
European hake;FR;HAKESOTH;-49;18;608.08255;849;19
Atlantic cod;IE;CODBA2532;15;5;222.163254;0;14
Atlantic cod;IE;CODNEARNCW_CODNEAR;15;5;222.163254;0;14
Atlantic cod;IE;CODFAPL;15;5;222.163254;0;14
Atlantic cod;IE;CODICE;15;5;222.163254;NA;14
Atlantic cod;IE;CODIS;15;5;222.163254;120;14
Atlantic cod;IE;CODKAT_CODIIIaW;15;5;222.163254;0;14
Atlantic cod;IE;CODVIa;15;5;222.163254;0;14
