SPECIES;COUNTRIES;STOCK;HDI;TAC;Swaps;Norganizations
Atlantic cod;BE;CODCOASTNOR_CODNEAR;0.896;0;8;1
Atlantic cod;BE;CODFAPL;0.896;0;8;1
Atlantic cod;BE;CODICE;0.896;NA;8;1
Atlantic cod;BE;CODBA2532;0.896;NA;8;1
Atlantic cod;BE;CODKAT_CODNS;0.896;862;8;1
Atlantic cod;BE;CODIS;0.896;2;8;1
Atlantic cod;BE;CODVIa;0.896;0;8;1
Atlantic cod;DK;CODCOASTNOR_CODNEAR;0.925;0;39;2
Atlantic cod;DK;CODFAPL;0.925;0;39;2
Atlantic cod;DK;CODICE;0.925;NA;39;2
Atlantic cod;DK;CODBA2532;0.925;11814;39;2
Atlantic cod;DK;CODKAT_CODNS;0.925;4956;39;2
Atlantic cod;DK;CODIS;0.925;0;39;2
Atlantic cod;DK;CODVIa;0.925;0;39;2
Atlantic cod;DE;CODCOASTNOR_CODNEAR;0.926;6656;-165;14
Atlantic cod;DE;CODFAPL;0.926;19;-165;14
Atlantic cod;DE;CODICE;0.926;NA;-165;14
Atlantic cod;DE;CODBA2532;0.926;4700;-165;14
Atlantic cod;DE;CODKAT_CODNS;0.926;3142;-165;14
Atlantic cod;DE;CODIS;0.926;0;-165;14
Atlantic cod;DE;CODVIa;0.926;0;-165;14
Atlantic cod;EE;CODCOASTNOR_CODNEAR;0.865;0;1;7
Atlantic cod;EE;CODFAPL;0.865;0;1;7
Atlantic cod;EE;CODICE;0.865;NA;1;7
Atlantic cod;EE;CODBA2532;0.865;1151;1;7
Atlantic cod;EE;CODKAT_CODNS;0.865;0;1;7
Atlantic cod;EE;CODIS;0.865;0;1;7
Atlantic cod;EE;CODVIa;0.865;0;1;7
Atlantic cod;IE;CODCOASTNOR_CODNEAR;0.923;0;15;5
Atlantic cod;IE;CODFAPL;0.923;0;15;5
Atlantic cod;IE;CODICE;0.923;NA;15;5
Atlantic cod;IE;CODBA2532;0.923;0;15;5
Atlantic cod;IE;CODKAT_CODNS;0.923;0;15;5
Atlantic cod;IE;CODIS;0.923;120;15;5
Atlantic cod;IE;CODVIa;0.923;0;15;5
Atlantic cod;ES;CODCOASTNOR_CODNEAR;0.884;13283;87;40
Atlantic cod;ES;CODFAPL;0.884;0;87;40
Atlantic cod;ES;CODICE;0.884;NA;87;40
Atlantic cod;ES;CODBA2532;0.884;0;87;40
Atlantic cod;ES;CODKAT_CODNS;0.884;0;87;40
Atlantic cod;ES;CODIS;0.884;0;87;40
Atlantic cod;ES;CODVIa;0.884;0;87;40
Atlantic cod;FR;CODCOASTNOR_CODNEAR;0.897;3154;-49;21
Atlantic cod;FR;CODFAPL;0.897;114;-49;21
Atlantic cod;FR;CODICE;0.897;NA;-49;21
Atlantic cod;FR;CODBA2532;0.897;0;-49;21
Atlantic cod;FR;CODKAT_CODNS;0.897;1065;-49;21
Atlantic cod;FR;CODIS;0.897;7;-49;21
Atlantic cod;FR;CODVIa;0.897;0;-49;21
Atlantic cod;LV;CODCOASTNOR_CODNEAR;0.83;0;2;4
Atlantic cod;LV;CODFAPL;0.83;0;2;4
Atlantic cod;LV;CODICE;0.83;NA;2;4
Atlantic cod;LV;CODBA2532;0.83;4393;2;4
Atlantic cod;LV;CODKAT_CODNS;0.83;0;2;4
Atlantic cod;LV;CODIS;0.83;0;2;4
Atlantic cod;LV;CODVIa;0.83;0;2;4
Atlantic cod;LT;CODCOASTNOR_CODNEAR;0.848;0;3;3
Atlantic cod;LT;CODFAPL;0.848;0;3;3
Atlantic cod;LT;CODICE;0.848;NA;3;3
Atlantic cod;LT;CODBA2532;0.848;2894;3;3
Atlantic cod;LT;CODKAT_CODNS;0.848;0;3;3
Atlantic cod;LT;CODIS;0.848;0;3;3
Atlantic cod;LT;CODVIa;0.848;0;3;3
Atlantic cod;NL;CODCOASTNOR_CODNEAR;0.924;0;22;12
