"ABUNDANCE","TEMPERATURE","OVEREXPLOITATION","RECOVERY","STRENGTH","QUOTAS","PROPERTY.RIGHTS","CO.MANAGEMENT","ADAPTIVE.MNG","CATCH.DEP","FLEET.MOBILITY","Resilience_Index"
0.448797137,0.545454545,0.435622318,0.504015116,0.6,0.957671260316446,0.686507936507937,0,0.0343877883349145,0.970037453183521,0.21603331598126,0.483472279
0.673005436,0.545454545,0.649928469,0.818926153,0.6,0.976230955466632,0.686507936507937,0,0.0343877883349145,0.99625468164794,0.21603331598126,0.561044799206096
0.633426714,0.545454545,0.974892704,0.740198394,0.8,0.738839032168979,0,0.333333333333333,0.106423183639233,0.763628797336663,0.435733703510903,0.555114639374924
0.829907541,0.545454545,0.997424893,0.527633444,0.8,0.97606693810263,0,0.333333333333333,0.106423183639233,0.998751560549313,0.435733703510903,0.67182865075
0.744861312,0.545454545,NA,NA,0.8,0,0.80952380952381,0.0256410256410256,0.223153583396678,0.958801498127341,0.79281045751634,0.468043091375578
1,0.545454545,0.997424893,0.527633444,0.8,0.966755115924132,0.80952380952381,0.0256410256410256,0.223153583396678,0.995006242197253,0.79281045751634,0.5764464211217
0.479652025,0.545454545,0.424785408,0.653597859,0.3,0.936396958451379,0.658730158730159,0.153846153846154,0.0288182275768422,0.947565543071161,0.311487072705188,0.72349308925
0.646173254,0.545454545,0.217811159,0.504015116,0.3,1,1,1,0.523558768831605,0.871410736579276,0.270640291514836,0.408791208791209
1,0.545454545,0.997424893,0.527633444,0.3,0.844005861041071,1,1,0.523558768831605,0.915730337078652,0.270640291514836,0.74369138476009
1,0.545454545,0.997424893,0.527633444,0.5,0.861126017792645,0.46031746031746,0.512820512820513,0.0225176757849303,0.921348314606742,NA,0.72510510575
0.043984232,0.545454545,0.952360515,0.952763344,0.5,0.930127698825078,0.46031746031746,0.512820512820513,0.228883665850928,0.976529338327091,1,0.512243317756923
0.829907541,0.545454545,0.997424893,0.527633444,0,0.917044951507031,0.714285714285714,0.102564102564103,0.228883665850928,0.83832709113608,1,0.571967710838298
0.511235619,0.545454545,0.952360515,0.952763344,0.4,0.874259971488364,0.666666666666667,0.0512820512820513,0.0652287876682911,0.989180191427382,NA,0.6451579285
