SPECIES;COUNTRIES;STOCK;ADAPTIVE.MNG;CATCH.DEP;FLEET.MOBILITY;GEAR.DIVERSITY
Atlantic cod;BE;CODCOASTNOR_CODNEAR;0.0344;NA;0.216;1
Atlantic cod;BE;CODFAPL;0.0344;NA;0.216;1
Atlantic cod;BE;CODICE;0.0344;NA;0.216;1
Atlantic cod;BE;CODBA2532;0.0344;NA;0.216;1
Atlantic cod;BE;CODKAT;0.0344;NA;0.216;1
Atlantic cod;BE;CODIS;0.0344;0.959;0.216;1
Atlantic cod;BE;CODVIa;0.0344;NA;0.216;1
Atlantic cod;BE;CODNS;0.0344;NA;0.216;1
Atlantic cod;DK;CODCOASTNOR_CODNEAR;0.2232;1;0.7928;1
Atlantic cod;DK;CODFAPL;0.2232;NA;0.7928;1
Atlantic cod;DK;CODICE;0.2232;NA;0.7928;1
Atlantic cod;DK;CODBA2532;0.2232;0.8014;0.7928;1
Atlantic cod;DK;CODKAT;0.2232;0.9215;0.7928;1
Atlantic cod;DK;CODIS;0.2232;NA;0.7928;1
Atlantic cod;DK;CODVIa;0.2232;NA;0.7928;1
Atlantic cod;DK;CODNS;0.2232;NA;0.7928;1
Atlantic cod;DE;CODCOASTNOR_CODNEAR;0.1064;0.3223;0.4357;1
Atlantic cod;DE;CODFAPL;0.1064;0.9999;0.4357;1
Atlantic cod;DE;CODICE;0.1064;0.996;0.4357;1
Atlantic cod;DE;CODBA2532;0.1064;0.7278;0.4357;1
Atlantic cod;DE;CODKAT;0.1064;0.9934;0.4357;1
Atlantic cod;DE;CODIS;0.1064;NA;0.4357;1
Atlantic cod;DE;CODVIa;0.1064;0.9999;0.4357;1
Atlantic cod;DE;CODNS;0.1064;NA;0.4357;1
Atlantic cod;EE;CODCOASTNOR_CODNEAR;0.0288;0.9888;0.3115;1
Atlantic cod;EE;CODFAPL;0.0288;NA;0.3115;1
Atlantic cod;EE;CODICE;0.0288;NA;0.3115;1
Atlantic cod;EE;CODBA2532;0.0288;0.4797;0.3115;1
Atlantic cod;EE;CODKAT;0.0288;NA;0.3115;1
Atlantic cod;EE;CODIS;0.0288;NA;0.3115;1
Atlantic cod;EE;CODVIa;0.0288;NA;0.3115;1
Atlantic cod;EE;CODNS;0.0288;NA;0.3115;1
Atlantic cod;IE;CODCOASTNOR_CODNEAR;0.0652;0.9224;NA;1
Atlantic cod;IE;CODFAPL;0.0652;NA;NA;1
Atlantic cod;IE;CODICE;0.0652;NA;NA;1
Atlantic cod;IE;CODBA2532;0.0652;NA;NA;1
Atlantic cod;IE;CODKAT;0.0652;NA;NA;1
Atlantic cod;IE;CODIS;0.0652;0.8102;NA;1
Atlantic cod;IE;CODVIa;0.0652;0.9803;NA;1
Atlantic cod;IE;CODNS;0.0652;NA;NA;1
Atlantic cod;ES;CODCOASTNOR_CODNEAR;0.5236;0.6039;0.2706;1
Atlantic cod;ES;CODFAPL;0.5236;NA;0.2706;1
Atlantic cod;ES;CODICE;0.5236;NA;0.2706;1
Atlantic cod;ES;CODBA2532;0.5236;NA;0.2706;1
Atlantic cod;ES;CODKAT;0.5236;NA;0.2706;1
Atlantic cod;ES;CODIS;0.5236;NA;0.2706;1
Atlantic cod;ES;CODVIa;0.5236;NA;0.2706;1
Atlantic cod;ES;CODNS;0.5236;NA;0.2706;1
Atlantic cod;FR;CODCOASTNOR_CODNEAR;0.2289;0.7078;1;1
Atlantic cod;FR;CODFAPL;0.2289;NA;1;1
Atlantic cod;FR;CODICE;0.2289;NA;1;1
Atlantic cod;FR;CODBA2532;0.2289;NA;1;1
Atlantic cod;FR;CODKAT;0.2289;0.9999;1;1
Atlantic cod;FR;CODIS;0.2289;0.9987;1;1
Atlantic cod;FR;CODVIa;0.2289;0.9895;1;1
Atlantic cod;FR;CODNS;0.2289;0.9998;1;1
Atlantic cod;LV;CODCOASTNOR_CODNEAR;0.0387;NA;0.3572;1
Atlantic cod;LV;CODFAPL;0.0387;NA;0.3572;1
Atlantic cod;LV;CODICE;0.0387;NA;0.3572;1
Atlantic cod;LV;CODBA2532;0.0387;0.6967;0.3572;1
Atlantic cod;LV;CODKAT;0.0387;NA;0.3572;1
Atlantic cod;LV;CODIS;0.0387;NA;0.3572;1
Atlantic cod;LV;CODVIa;0.0387;NA;0.3572;1
Atlantic cod;LV;CODNS;0.0387;NA;0.3572;1
Atlantic cod;LT;CODCOASTNOR_CODNEAR;0.0093;NA;0.1549;1
Atlantic cod;LT;CODFAPL;0.0093;NA;0.1549;1
Atlantic cod;LT;CODICE;0.0093;NA;0.1549;1
Atlantic cod;LT;CODBA2532;0.0093;0.6924;0.1549;1
Atlantic cod;LT;CODKAT;0.0093;NA;0.1549;1
Atlantic cod;LT;CODIS;0.0093;NA;0.1549;1
Atlantic cod;LT;CODVIa;0.0093;NA;0.1549;1
Atlantic cod;LT;CODNS;0.0093;NA;0.1549;1
Atlantic cod;NL;CODCOASTNOR_CODNEAR;0.1687;NA;0.1286;1
Atlantic cod;NL;CODFAPL;0.1687;NA;0.1286;1
Atlantic cod;NL;CODICE;0.1687;NA;0.1286;1
Atlantic cod;NL;CODBA2532;0.1687;NA;0.1286;1
Atlantic cod;NL;CODKAT;0.1687;0.9955;0.1286;1
Atlantic cod;NL;CODIS;0.1687;NA;0.1286;1
