SPECIES;COUNTRIES;STOCK;SPgear;ICESareas5;ICESareasEU;Stockdep.sp;Stockdep.total;Research;Management;;;
Atlantic cod;BE;CODBA2532;6;9.5;-2.15;0;0.0003;5385;4333;;;
Atlantic cod;BE;CODFAPL;6;9.5;-2.15;0;0;5385;4333;;;
Atlantic cod;BE;CODICE;6;9.5;-2.15;0;0;5385;4333;;;
Atlantic cod;BE;CODIIIaW;6;9.5;-2.15;0;0;5385;4333;;;
Atlantic cod;BE;CODIS;6;9.5;-2.15;0.0484;0;5385;4333;;;
Atlantic cod;BE;CODKAT;6;9.5;-2.15;0;0;5385;4333;;;
Atlantic cod;BE;CODNEARNCW_CODNEAR;6;9.5;-2.15;0;0;5385;4333;;;
Atlantic cod;BE;CODVIa;6;9.5;-2.15;0;0;5385;4333;;;
European hake;BE;HAKENRTN;1;9.5;-2.15;0.0812;0.0024;5385;4333;;;
European hake;BE;HAKESOTH;1;9.5;-2.15;0;0;5385;4333;;;
Atlantic cod;DE;CODBA2532;9;13.22;-0.27;0.1323;0.0004;8030;13325;;;
Atlantic cod;DE;CODFAPL;9;13.22;-0.27;0.0001;0;8030;13325;;;
Atlantic cod;DE;CODICE;9;13.22;-0.27;0.002;0;8030;13325;;;
Atlantic cod;DE;CODIIIaW;9;13.22;-0.27;0;0;8030;13325;;;
Atlantic cod;DE;CODIS;9;13.22;-0.27;0;0;8030;13325;;;
Atlantic cod;DE;CODKAT;9;13.22;-0.27;0.0032;0.0071;8030;13325;;;
Atlantic cod;DE;CODNEARNCW_CODNEAR;9;13.22;-0.27;0.3294;0.0028;8030;13325;;;
Atlantic cod;DE;CODVIa;9;13.22;-0.27;0.0001;0;8030;13325;;;
European hake;DE;HAKENRTN;5;13.22;-0.27;0.0194;0;8030;13325;;;
European hake;DE;HAKESOTH;5;13.22;-0.27;0;0;8030;13325;;;
Atlantic cod;DK;CODBA2532;8;12.5;5.48;0.2856;0.0001;12472;27710;;;
Atlantic cod;DK;CODFAPL;8;12.5;5.48;0;0;12472;27710;;;
Atlantic cod;DK;CODICE;8;12.5;5.48;0;0.0801;12472;27710;;;
Atlantic cod;DK;CODIIIaW;8;12.5;5.48;0;0;12472;27710;;;
Atlantic cod;DK;CODIS;8;12.5;5.48;0;0.0005;12472;27710;;;
Atlantic cod;DK;CODKAT;8;12.5;5.48;0.1129;0.0322;12472;27710;;;
Atlantic cod;DK;CODNEARNCW_CODNEAR;8;12.5;5.48;0;0.0008;12472;27710;;;
Atlantic cod;DK;CODVIa;8;12.5;5.48;0;0;12472;27710;;;
European hake;DK;HAKENRTN;6;12.5;5.48;0.1858;0;12472;27710;;;
European hake;DK;HAKESOTH;6;12.5;5.48;0;0;12472;27710;;;
Atlantic cod;EE;CODBA2532;8;3.6;1.66;0.8704;0;806;8862;;;
Atlantic cod;EE;CODFAPL;8;3.6;1.66;0;0;806;8862;;;
Atlantic cod;EE;CODICE;8;3.6;1.66;0;0.0002;806;8862;;;
Atlantic cod;EE;CODIIIaW;8;3.6;1.66;0;0;806;8862;;;
Atlantic cod;EE;CODIS;8;3.6;1.66;0;0;806;8862;;;
Atlantic cod;EE;CODKAT;8;3.6;1.66;0;0.0082;806;8862;;;
Atlantic cod;EE;CODNEARNCW_CODNEAR;8;3.6;1.66;0.0188;0;806;8862;;;
Atlantic cod;EE;CODVIa;8;3.6;1.66;0;0;806;8862;;;
Atlantic cod;ES;CODBA2532;2;5.27;0.37;0;0;17871;71934;;;
Atlantic cod;ES;CODFAPL;2;5.27;0.37;0;0;17871;71934;;;
Atlantic cod;ES;CODICE;2;5.27;0.37;0;0.0007;17871;71934;;;
Atlantic cod;ES;CODIIIaW;2;5.27;0.37;0;0;17871;71934;;;
Atlantic cod;ES;CODIS;2;5.27;0.37;0;0;17871;71934;;;
Atlantic cod;ES;CODKAT;2;5.27;0.37;0;0;17871;71934;;;
Atlantic cod;ES;CODNEARNCW_CODNEAR;2;5.27;0.37;0.6151;0;17871;71934;;;
Atlantic cod;ES;CODVIa;2;5.27;0.37;0;0.0017;17871;71934;;;
