SPECIES;COUNTRIES;STOCK;SPgear;ICESareas5;ICESareasEU;Stockdep.sp;Stockdep.total;Research;Management
European hake;BE;HAKENRTN;4;9.5;-2.15;0.0812;0.0003;5385;4333
European hake;BE;HAKESOTH;4;9.5;-2.15;NA;NA;5385;4333
European hake;DK;HAKENRTN;4;12.5;5.48;0.1858;0.0004;12472;27710
European hake;DK;HAKESOTH;4;12.5;5.48;NA;NA;12472;27710
European hake;DE;HAKENRTN;4;13.22;-0.27;0.0194;0.0001;8030;13325
European hake;DE;HAKESOTH;4;13.22;-0.27;NA;NA;8030;13325
European hake;ES;HAKENRTN;4;5.27;0.37;0.2657;0.0073;17871;71934
European hake;ES;HAKESOTH;4;5.27;0.37;0.227;0.0062;17871;71934
European hake;FR;HAKENRTN;4;20.41;5.5;0.3302;0.0249;20341;19279
European hake;FR;HAKESOTH;4;20.41;5.5;0.0132;0.001;20341;19279
European hake;PT;HAKENRTN;4;2.88;0.61;0.0002;0;4115;18290
European hake;PT;HAKESOTH;4;2.88;0.61;0.7286;0.0097;4115;18290
European hake;SE;HAKENRTN;4;NA;NA;0.8;0.0003;71149;15606
European hake;SE;HAKESOTH;4;NA;NA;NA;NA;71149;15606
