"","COUNTRIES","Institutional_Dimension","Resilience_Index_I","SPECIE","Socioeconomic_Dimension","Resilience_Index_S","Ecological_Dimension","Resilience_Index_E"
"1","BE","institutional",0.357265765765766,"Cod","socioeconomic",0.105770185982788,"ecological",0.30867498975
"2","DE","institutional",0.549496171171171,"Cod","socioeconomic",0.219166970918039,"ecological",0.46527042725
"3","DK","institutional",0.706175,"Cod","socioeconomic",0.407310902346861,"ecological",0.498130817
"4","EE","institutional",0.30975548048048,"Cod","socioeconomic",0.353188788971352,"ecological",0.41437395075
"5","ES","institutional",0.838267642642643,"Cod","socioeconomic",0.598066666666667,"ecological",0.1802050225
"6","FI","institutional",0.462295695695696,"Cod","socioeconomic",0.422666601407485,"ecological",0.482058918
"7","FR","institutional",0.481113363363363,"Cod","socioeconomic",0.455306624099698,"ecological",0.37605519675
"8","IE","institutional",0.446425,"Cod","socioeconomic",0.164078791914846,"ecological",0.26239063975
"9","LT","institutional",0.268026651651652,"Cod","socioeconomic",0.0910323710144433,"ecological",0.482058918
"10","LV","institutional",0.249059159159159,"Cod","socioeconomic",0.291042075259459,"ecological",0.482058918
"11","NL","institutional",0.541105255255255,"Cod","socioeconomic",0.0991,"ecological",0.57365316825
"12","PL","institutional",0.544233408408408,"Cod","socioeconomic",0.360699577158618,"ecological",0.41437395075
"13","PT","institutional",0.346263138138138,"Cod","socioeconomic",0.380949623059856,"ecological",0.1802050225
"14","SE","institutional",0.590308408408408,"Cod","socioeconomic",0.603928058613679,"ecological",0.52785604325
"15","BE","institutional",0.345155663837368,"Hake","socioeconomic",0.109856623110428,"ecological",0.70316719125
"16","DE","institutional",0.333325,"Hake","socioeconomic",0.1807,"ecological",0.70316719125
"17","DK","institutional",0.477950123126899,"Hake","socioeconomic",0.409723118968315,"ecological",0.70316719125
"18","ES","institutional",0.819326666142722,"Hake","socioeconomic",0.361645964642583,"ecological",NA
"19","FR","institutional",0.66775,"Hake","socioeconomic",0.474668776155094,"ecological",0.622894919
"20","PT","institutional",0.328647896363827,"Hake","socioeconomic",0.258055905713554,"ecological",NA
"21","SE","institutional",0.41191571832757,"Hake","socioeconomic",0.7834,"ecological",0.622894919
"22","BE","institutional",0.345155663837368,"Hake","socioeconomic",0.109856623110428,"ecological",NA
"23","DE","institutional",0.333325,"Hake","socioeconomic",0.1807,"ecological",NA
"24","DK","institutional",0.477950123126899,"Hake","socioeconomic",0.409723118968315,"ecological",NA
"25","ES","institutional",0.819326666142722,"Hake","socioeconomic",0.361645964642583,"ecological",NA
"26","FR","institutional",0.66775,"Hake","socioeconomic",0.474668776155094,"ecological",NA
"27","PT","institutional",0.328647896363827,"Hake","socioeconomic",0.258055905713554,"ecological",0.54262264675
"28","SE","institutional",0.41191571832757,"Hake","socioeconomic",0.7834,"ecological",0.70316719125
