ASSESSID;TSYEAR;PT_AVAIL;SSB;R;TOTAL;F;CPUE;CATCH_LANDINGS
WGHMM-HAKENRTN-1977-2007-JENNINGS;1977;5;;297000;;;;
WGHMM-HAKENRTN-1977-2007-JENNINGS;1979;5;236200;254000;327022;0.2;;50637
WGHMM-HAKENRTN-1977-2007-JENNINGS;1980;5;220100;206000;319161;0.217;;56473
WGHMM-HAKENRTN-1977-2007-JENNINGS;1981;5;234900;210000;334699;0.216;;58183
WGHMM-HAKENRTN-1977-2007-JENNINGS;1982;5;233900;190000;328888;0.239;;53645
WGHMM-HAKENRTN-1977-2007-JENNINGS;1983;5;221800;210000;305763;0.242;;57508
WGHMM-HAKENRTN-1977-2007-JENNINGS;1984;5;231300;194000;305706;0.252;;63288
WGHMM-HAKENRTN-1977-2007-JENNINGS;1985;5;309700;206000;389774;0.163;;56100
WGHMM-HAKENRTN-1977-2007-JENNINGS;1986;5;279300;213000;360924;0.197;;57093
WGHMM-HAKENRTN-1977-2007-JENNINGS;1987;5;224400;195000;297437;0.265;;63368
WGHMM-HAKENRTN-1977-2007-JENNINGS;1988;5;167700;254000;240698;0.334;;64824
WGHMM-HAKENRTN-1977-2007-JENNINGS;1989;5;143600;206000;222975;0.368;;66472
WGHMM-HAKENRTN-1977-2007-JENNINGS;1990;5;118500;242000;190885;0.382;;64288
WGHMM-HAKENRTN-1977-2007-JENNINGS;1991;5;104800;213000;178248;0.306;;52373
WGHMM-HAKENRTN-1977-2007-JENNINGS;1992;5;97400;180000;163861;0.389;;56618
WGHMM-HAKENRTN-1977-2007-JENNINGS;1993;5;97300;200000;166949;0.294;;52146
WGHMM-HAKENRTN-1977-2007-JENNINGS;1994;5;94800;202000;161462;0.378;;51259
WGHMM-HAKENRTN-1977-2007-JENNINGS;1995;5;100100;160000;174074;0.425;;57619
WGHMM-HAKENRTN-1977-2007-JENNINGS;1996;5;97500;149000;154969;0.345;;47213
WGHMM-HAKENRTN-1977-2007-JENNINGS;1997;5;102500;160000;163965;0.298;;42600
WGHMM-HAKENRTN-1977-2007-JENNINGS;1998;5;98600;154000;168521;0.279;;35010
WGHMM-HAKENRTN-1977-2007-JENNINGS;1999;5;95100;144000;163233;0.315;;39814
WGHMM-HAKENRTN-1977-2007-JENNINGS;2000;5;97100;163000;161390;0.322;;42022
WGHMM-HAKENRTN-1977-2007-JENNINGS;2001;5;106100;204000;168995;0.24;;36675
WGHMM-HAKENRTN-1977-2007-JENNINGS;2002;5;110500;203000;183691;0.256;;40105
WGHMM-HAKENRTN-1977-2007-JENNINGS;2003;5;113100;186000;202902;0.264;;41877
WGHMM-HAKENRTN-1977-2007-JENNINGS;2004;5;126900;186000;216549;0.264;;47123
WGHMM-HAKENRTN-1977-2007-JENNINGS;2005;5;126400;186000;210407;0.256;;46367
WGHMM-HAKENRTN-1977-2007-JENNINGS;2006;5;139900;;242454;0.213;;41800
WGHMM-HAKENRTN-1977-2007-JENNINGS;2007;5;150900;;;;;
WGHMM-HAKESOTH-1982-2007-JENNINGS;1982;4;48316;94668;;0.296;;17108
WGHMM-HAKESOTH-1982-2007-JENNINGS;1983;4;51913;100364;;0.432;;22376
WGHMM-HAKESOTH-1982-2007-JENNINGS;1984;4;39025;116850;;0.447;;21485
WGHMM-HAKESOTH-1982-2007-JENNINGS;1985;4;28676;92669;;0.409;;18152
WGHMM-HAKESOTH-1982-2007-JENNINGS;1986;4;22614;95213;;0.463;;16185
WGHMM-HAKESOTH-1982-2007-JENNINGS;1987;4;21204;87867;;0.524;;15232
WGHMM-HAKESOTH-1982-2007-JENNINGS;1988;4;19845;69258;;0.493;;15667
WGHMM-HAKESOTH-1982-2007-JENNINGS;1989;4;19683;57168;;0.458;;12887
WGHMM-HAKESOTH-1982-2007-JENNINGS;1990;4;19812;46757;;0.411;;11994
WGHMM-HAKESOTH-1982-2007-JENNINGS;1991;4;24073;40691;;0.413;;11618
WGHMM-HAKESOTH-1982-2007-JENNINGS;1992;4;22097;48295;;0.494;;12824
WGHMM-HAKESOTH-1982-2007-JENNINGS;1993;4;19002;52216;;0.398;;10944
WGHMM-HAKESOTH-1982-2007-JENNINGS;1994;4;14680;41794;;0.454;;9542
WGHMM-HAKESOTH-1982-2007-JENNINGS;1995;4;12471;45727;;0.782;;11782
WGHMM-HAKESOTH-1982-2007-JENNINGS;1996;4;14266;55272;;0.63;;8875
WGHMM-HAKESOTH-1982-2007-JENNINGS;1997;4;10286;42483;;0.61;;7619
WGHMM-HAKESOTH-1982-2007-JENNINGS;1998;4;6401;36682;;0.478;;7100
WGHMM-HAKESOTH-1982-2007-JENNINGS;1999;4;9928;38593;;0.544;;6911
WGHMM-HAKESOTH-1982-2007-JENNINGS;2000;4;11029;31003;;0.654;;7318
WGHMM-HAKESOTH-1982-2007-JENNINGS;2001;4;8009;37298;;0.624;;6365
WGHMM-HAKESOTH-1982-2007-JENNINGS;2002;4;9088;50147;;0.581;;5817
WGHMM-HAKESOTH-1982-2007-JENNINGS;2003;4;7361;53792;;0.536;;5617
WGHMM-HAKESOTH-1982-2007-JENNINGS;2004;4;10556;68829;;0.453;;5890
WGHMM-HAKESOTH-1982-2007-JENNINGS;2005;4;13398;67231;;0.576;;7437
WGHMM-HAKESOTH-1982-2007-JENNINGS;2006;4;15287;46840;;0.613;;10188
WGHMM-HAKESOTH-1982-2007-JENNINGS;2007;4;15189;46840;;0.613;;10188
