ASSESSID;STOCKID;STOCKLONG;TSYEAR;TBbest;TCbest;ERbest;BdivBmsypref;UdivUmsypref;BdivBmgtpref;UdivUmgtpref;TB;SSB;TN;R;TC;TL;RecC;F;ER;TBdivTBmsy;SSBdivSSBmsy;NdivNmsy;FdivFmsy;ERdivERmsy;CdivMSY;CdivMEANC;TBdivTBmgt;SSBdivSSBmgt;NdivNmgt;FdivFmgt
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1964;;;;;;;;;;;4.03E+08;;;;;;;;;;;;;;;;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1965;;1.47E+05;;;;;;;;;3.73E+08;1.47E+05;1.47E+05;;;;;;;;;;0.985080288;;;;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1966;3.47E+05;1.86E+05;;1.927437642;3.16;1.927437642;3.16;3.47E+05;1.70E+05;;3.41E+08;1.86E+05;1.77E+05;;9.48E-01;;;;;2.79;;;1.24642812;;1.927437642;;3.16
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1967;4.10E+05;2.07E+05;;2.426303855;4.033333333;2.426303855;4.033333333;4.10E+05;2.14E+05;;2.93E+08;2.07E+05;1.95E+05;;1.21E+00;;;;;3.866666667;;;1.387153875;;2.426303855;;4.033333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1968;4.13E+05;2.26E+05;;2.573696145;3.533333333;2.573696145;3.533333333;4.13E+05;2.27E+05;;2.47E+08;2.26E+05;2.16E+05;;1.06E+00;;;;;3.766666667;;;1.514477178;;2.573696145;;3.533333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1969;3.90E+05;2.23E+05;;2.528344671;3.433333333;2.528344671;3.433333333;3.90E+05;2.23E+05;;2.65E+08;2.23E+05;2.12E+05;;1.03E+00;;;;;3.666666667;;;1.494373499;;2.528344671;;3.433333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1970;3.55E+05;2.06E+05;;2.392290249;3.29;2.392290249;3.29;3.55E+05;2.11E+05;;3.17E+08;2.06E+05;1.98E+05;;9.87E-01;;;;;3.733333333;;;1.380452649;;2.392290249;;3.29
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1971;3.29E+05;1.70E+05;;2.210884354;2.873333333;2.210884354;2.873333333;3.29E+05;1.95E+05;;4.09E+08;1.70E+05;1.65E+05;;8.62E-01;;;;;3.043333333;;;1.139208497;;2.210884354;;2.873333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1972;3.50E+05;1.52E+05;;2.290249433;2.863333333;2.290249433;2.863333333;3.50E+05;2.02E+05;;4.29E+08;1.52E+05;1.44E+05;;8.59E-01;;;;;3.466666667;;;1.018586421;;2.290249433;;2.863333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1973;3.98E+05;1.51E+05;;2.471655329;2.846666667;2.471655329;2.846666667;3.98E+05;2.18E+05;;3.17E+08;1.51E+05;1.43E+05;;8.54E-01;;;;;3.243333333;;;1.011885194;;2.471655329;;2.846666667
