ASSESSID;STOCKID;STOCKLONG;TSYEAR;TBbest;TCbest;ERbest;BdivBmsypref;UdivUmsypref;BdivBmgtpref;UdivUmgtpref;TB;SSB;TN;R;TC;TL;RecC;F;ER;TBdivTBmsy;SSBdivSSBmsy;NdivNmsy;FdivFmsy;ERdivERmsy;CdivMSY;CdivMEANC;TBdivTBmgt;SSBdivSSBmgt;NdivNmgt;FdivFmgt
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1978;1.19E+05;5.06E+04;0.425210084;1.788888889;1.785714286;1.788888889;1.785714286;1.19E+05;8.05E+04;;2.98E+08;5.06E+04;5.06E+04;;5.00E-01;0.425210084;;;;1.785714286;;;0.819532737;;1.788888889;;1.785714286
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1979;1.28E+05;5.11E+04;0.39921875;2.244444444;1.928571429;2.244444444;1.928571429;1.28E+05;1.01E+05;;2.75E+08;5.11E+04;5.11E+04;;5.40E-01;0.39921875;;;;1.928571429;;;0.827630886;;2.244444444;;1.928571429
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1980;1.27E+05;5.73E+04;0.451181102;2.311111111;2.285714286;2.311111111;2.285714286;1.27E+05;1.04E+05;;3.04E+08;5.73E+04;5.73E+04;;6.40E-01;0.451181102;;;;2.285714286;;;0.928047941;;2.311111111;;2.285714286
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1981;1.09E+05;5.39E+04;0.494495413;1.984444444;2.285714286;1.984444444;2.285714286;1.09E+05;8.93E+04;;5.80E+08;5.39E+04;5.39E+04;;6.40E-01;0.494495413;;;;2.285714286;;;0.872980524;;1.984444444;;2.285714286
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1982;1.01E+05;5.50E+04;0.544554455;1.615555556;2.392857143;1.615555556;2.392857143;1.01E+05;7.27E+04;;3.93E+08;5.50E+04;5.50E+04;;6.70E-01;0.544554455;;;;2.392857143;;;0.890796453;;1.615555556;;2.392857143
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1983;1.07E+05;5.75E+04;0.537383178;1.564444444;2.214285714;1.564444444;2.214285714;1.07E+05;7.04E+04;;1.40E+08;5.75E+04;5.75E+04;;6.20E-01;0.537383178;;;;2.214285714;;;0.931287201;;1.564444444;;2.214285714
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1984;1.12E+05;6.33E+04;0.565178571;1.844444444;2.357142857;1.844444444;2.357142857;1.12E+05;8.30E+04;;2.79E+08;6.33E+04;6.33E+04;;6.60E-01;0.565178571;;;;2.357142857;;;1.025225736;;1.844444444;;2.357142857
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1985;9.74E+04;5.61E+04;0.575975359;1.753333333;2.928571429;1.753333333;2.928571429;9.74E+04;7.89E+04;;6.20E+08;5.61E+04;5.61E+04;;8.20E-01;0.575975359;;;;2.928571429;;;0.908612382;;1.753333333;;2.928571429
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1986;8.04E+04;5.71E+04;0.710199005;1.311111111;3.25;1.311111111;3.25;8.04E+04;5.90E+04;;3.60E+08;5.71E+04;5.71E+04;;9.10E-01;0.710199005;;;;3.25;;;0.924808681;;1.311111111;;3.25
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1987;7.53E+04;6.34E+04;0.841965471;0.966666667;3.5;0.966666667;3.5;7.53E+04;4.35E+04;;4.34E+08;6.34E+04;6.34E+04;;9.80E-01;0.841965471;;;;3.5;;;1.026845366;;0.966666667;;3.5
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1988;7.63E+04;6.48E+04;0.849279161;1.022222222;3.571428571;1.022222222;3.571428571;7.63E+04;4.60E+04;;4.94E+08;6.48E+04;6.48E+04;;1.00E+00;0.849279161;;;;3.571428571;;;1.049520185;;1.022222222;;3.571428571
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1989;7.65E+04;6.65E+04;0.869281046;1.002222222;3.821428571;1.002222222;3.821428571;7.65E+04;4.51E+04;;4.78E+08;6.65E+04;6.65E+04;;1.07E+00;0.869281046;;;;3.821428571;;;1.077053893;;1.002222222;;3.821428571
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1990;7.06E+04;6.00E+04;0.849858357;0.942222222;3.642857143;0.942222222;3.642857143;7.06E+04;4.24E+04;;4.85E+08;6.00E+04;6.00E+04;;1.02E+00;0.849858357;;;;3.642857143;;;0.971777949;;0.942222222;;3.642857143
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1991;6.75E+04;5.81E+04;0.860740741;0.92;3.428571429;0.92;3.428571429;6.75E+04;4.14E+04;;2.70E+08;5.81E+04;5.81E+04;;9.60E-01;0.860740741;;;;3.428571429;;;0.94100498;;0.92;;3.428571429
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1992;6.65E+04;5.66E+04;0.85112782;0.884444444;3.571428571;0.884444444;3.571428571;6.65E+04;3.98E+04;;2.95E+08;5.66E+04;5.66E+04;;1.00E+00;0.85112782;;;;3.571428571;;;0.916710532;;0.884444444;;3.571428571
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1993;5.89E+04;5.21E+04;0.884550085;0.86;3.75;0.86;3.75;5.89E+04;3.87E+04;;5.17E+08;5.21E+04;5.21E+04;;1.05E+00;0.884550085;;;;3.75;;;0.843827185;;0.86;;3.75
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1994;5.26E+04;5.16E+04;0.980988593;0.677777778;3.785714286;0.677777778;3.785714286;5.26E+04;3.05E+04;;2.88E+08;5.16E+04;5.13E+04;;1.06E+00;0.980988593;;;;3.785714286;;;0.835729036;;0.677777778;;3.785714286
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1995;5.87E+04;5.76E+04;0.981260647;0.657777778;4;0.657777778;4;5.87E+04;2.96E+04;;1.48E+08;5.76E+04;5.76E+04;;1.12E+00;0.981260647;;;;4;;;0.932906831;;0.657777778;;4
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1996;5.41E+04;4.72E+04;0.87245841;0.773333333;3.464285714;0.773333333;3.464285714;5.41E+04;3.48E+04;;3.63E+08;4.72E+04;4.72E+04;;9.70E-01;0.87245841;;;;3.464285714;;;0.76446532;;0.773333333;;3.464285714
